"SORT","TECTNO","TECTCODE","TECTNAME","TECTTYPE","LITHOLOGY","TECTSETTIN","TSETT_QUAL","PARENTCODE","PARENTNAME","PARENTTYPE","STATE","WATECTUNIT","SSUITE_TEC","SUITE_TEC","CRATON","SUPERTERRA","CRATON_TER","DOMAIN_","GREENSTONE","SUPERBASIN","BASIN","SUBBASIN","SUBBASIN_E","OROGEN","PROVINCE","PROV_TZONE","TECT_SUBDI","OROG_FOR","OROG_FORSU","IN_OUTLIER","EVENTS","ERA_FROM","ERA_TO","MAX_AGE_MA","MIN_AGE_MA","TECTCOLOUR","SYMBOL"
"4","159","CAK","Kidson Sub-basin","Sub-basin","sedimentary rocks","basin","intracratonic basin","CA","Canning Basin","Basin","Western Australia","Phanerozoic basins","","","","","","","","","Canning Basin","Kidson Sub-basin","","","","","","","","","Fitzroy Movement (237 - 199 Ma); Point Moody Extension (300 - 242 Ma)","Paleozoic","Mesozoic","485","100","PZ-s","PALEOZOIC; sedimentary rocks"
"4","402","CAKU","Munro Arch","Sub-basin element","sedimentary rocks","basin","intracratonic basin","CAK","Kidson Sub-basin","Sub-basin","Western Australia","Phanerozoic basins","","","","","","","","","Canning Basin","Kidson Sub-basin","Munro Arch","","","","","","","","Fitzroy Movement (237 - 199 Ma); Point Moody Extension (300 - 242 Ma)","Paleozoic","Mesozoic","485","100","PZ-s","PALEOZOIC; sedimentary rocks"
"4","151","CAL","Lennard Shelf","Sub-basin","sedimentary rocks","basin","intracratonic basin","CA","Canning Basin","Basin","Western Australia","Phanerozoic basins","","","","","","","","","Canning Basin","Lennard Shelf","","","","","","","","","Meda Transpression (323 - 310 Ma); Red Bluffs Extension (372.2 - 360 Ma); Van Emmerick Extension (382.7 - 372.2 Ma); Pillara Movement (Alice Springs Orogeny phase 2) (390 - 360 Ma); Pertnjara-Brewer Movements (Alice Springs Orogeny phase 2) (390 - 360 Ma); Prices Creek Movement (419 - 395 Ma)","Paleozoic","Mesozoic","485","201","PZ-s","PALEOZOIC; sedimentary rocks"
"4","397","CALP","Pender Terrace","Sub-basin element","sedimentary rocks","basin","intracratonic basin","CAL","Lennard Shelf","Sub-basin","Western Australia","Phanerozoic basins","","","","","","","","","Canning Basin","Lennard Shelf","Pender Terrace","","","","","","","","Fitzroy Movement (237 - 199 Ma); Meda Transpression (323 - 310 Ma); Pillara Movement (Alice Springs Orogeny phase 2) (390 - 360 Ma)","Paleozoic","Mesozoic","485","201","PZ-s","PALEOZOIC; sedimentary rocks"
"4","105","CAN","Ryan Shelf","Sub-basin","sedimentary rocks","basin","undivided","CA","Canning Basin","Basin","Western Australia","Phanerozoic basins","","","","","","","","","Canning Basin","Ryan Shelf","","","","","","","","","Western Australian events (4000 - 0.01 Ma)","Paleozoic","Mesozoic","323","100","PZ-s","PALEOZOIC; sedimentary rocks"
"4","216","CANC","Cobb Embayment","Sub-basin","sedimentary rocks","basin","undivided","CA","Canning Basin","Basin","Western Australia","Phanerozoic basins","","","","","","","","","Canning Basin","Cobb Embayment","","","","","","","","","Western Australian events (4000 - 0.01 Ma)","Paleozoic","Paleozoic","485","290","PZ-s","PALEOZOIC; sedimentary rocks"
"4","396","CAO","Balgo Terrace","Sub-basin","sedimentary rocks","basin","intracratonic basin","CA","Canning Basin","Basin","Western Australia","Phanerozoic basins","","","","","","","","","Canning Basin","Balgo Terrace","","","","","","","","","Meda Transpression (323 - 310 Ma); Pillara Movement (Alice Springs Orogeny phase 2) (390 - 360 Ma); Prices Creek Movement (419 - 395 Ma)","Paleozoic","Paleozoic","485","252","PZ-s","PALEOZOIC; sedimentary rocks"
"4","398","CAOB","Betty Terrace","Sub-basin element","sedimentary rocks","basin","intracratonic basin","CAO","Balgo Terrace","Sub-basin","Western Australia","Phanerozoic basins","","","","","","","","","Canning Basin","Balgo Terrace","Betty Terrace","","","","","","","","Western Australian events (4000 - 0.01 Ma)","Paleozoic","Paleozoic","485","252","PZ-s","PALEOZOIC; sedimentary rocks"
"4","403","CAP","Tabletop Shelf","Sub-basin","sedimentary rocks","basin","continental platform","CA","Canning Basin","Basin","Western Australia","Phanerozoic basins","","","","","","","","","Canning Basin","Tabletop Shelf","","","","","","","","","Western Australian events (4000 - 0.01 Ma)","Paleozoic","Mesozoic","323","100","PZ-s","PALEOZOIC; sedimentary rocks"
"4","383","CAR","Broome Platform","Sub-basin","sedimentary rocks","basin","intracratonic basin","CA","Canning Basin","Basin","Western Australia","Phanerozoic basins","","","","","","","","","Canning Basin","Broome Platform","","","","","","","","","Fitzroy Movement (237 - 199 Ma); Meda Transpression (323 - 310 Ma)","Paleozoic","Mesozoic","485","66","PZ-s","PALEOZOIC; sedimentary rocks"
