"SORT","TECTNO","TECTCODE","TECTNAME","TECTTYPE","LITHOLOGY","TECTSETTIN","TSETT_QUAL","PARENTCODE","PARENTNAME","PARENTTYPE","STATE","WATECTUNIT","SSUITE_TEC","SUITE_TEC","CRATON","SUPERTERRA","CRATON_TER","DOMAIN_","GREENSTONE","SUPERBASIN","BASIN","SUBBASIN","SUBBASIN_E","OROGEN","PROVINCE","PROV_TZONE","TECT_SUBDI","OROG_FOR","OROG_FORSU","IN_OUTLIER","EVENTS","ERA_FROM","ERA_TO","MAX_AGE_MA","MIN_AGE_MA","TECTCOLOUR","SYMBOL"
"44","321","EM","Emu Pool Supersuite","Supersuite","granitic rocks","igneous","undivided","P","Pilbara Craton","Craton","Western Australia","West Australian Craton","Emu Pool Supersuite","","Pilbara Craton","","","","","","","","","","","","","","","","North Pilbara Orogeny (2955 - 2919 Ma); Prinsep Orogeny (3068 - 3066 Ma); East Pilbara Terrane Rifting Event (3220 - 3165 Ma)","Paleoarchean","Paleoarchean","3324","3277","AP-g","PALEOARCHEAN; granitic rocks"
"29","34","EP","Esperance Supersuite","Supersuite","igneous and metamorphic rocks","igneous","intraplate granites","AFO","Albany-Fraser Orogen","Orogen","Western Australia","West Australian Craton","Esperance Supersuite","","","","","","","","","","","Albany-Fraser Orogen","","","","","","","Albany-Fraser Orogeny (1330 - 1140 Ma); Albany-Fraser Orogeny Stage II (1225 - 1140 Ma)","Mesoproterozoic","Mesoproterozoic","1200","1140","P_M-im","MESOPROTEROZOIC; igneous and metamorphic rocks"
"1","125","EUB","Balladonia Shelf","Sub-basin","sedimentary rocks","basin","continental margin","EU","Eucla Basin","Basin","Western Australia","Phanerozoic basins","","","","","","","","","Eucla Basin","Balladonia Shelf","","","","","","","","","Tuketja transgression, 36 Ma (36 - 36 Ma); Tortachilla transgression, 39 Ma (39 - 39 Ma); Wilson Bluff transgression, 42 Ma (42 - 42 Ma)","Cenozoic","Cenozoic","48","23","CZ-s","CENOZOIC; sedimentary rocks"
"1","129","EUE","Esperance Shelf","Sub-basin","sedimentary rocks","basin","passive margin","EU","Eucla Basin","Basin","Western Australia","Phanerozoic basins","","","","","","","","","Eucla Basin","Esperance Shelf","","","","","","","","","Tuketja transgression, 36 Ma (36 - 36 Ma); Tortachilla transgression, 39 Ma (39 - 39 Ma); Wilson Bluff transgression, 42 Ma (42 - 42 Ma)","Cenozoic","Cenozoic","48","0","CZ-s","CENOZOIC; sedimentary rocks"
"1","126","EUN","Nullarbor Shelf","Sub-basin","sedimentary rocks","basin","passive margin","EU","Eucla Basin","Basin","Western Australia","Phanerozoic basins","","","","","","","","","Eucla Basin","Nullarbor Shelf","","","","","","","","","Officer Basin Cenozoic diapirism (66 - 0.01 Ma); Timorese Collision (20 - 0.01 Ma); Mid-Miocene transgression, 15 Ma (15 - 15 Ma); Mid-Oligocene transgression, 29 Ma (29 - 29 Ma); Tuketja transgression, 36 Ma (36 - 36 Ma); Tortachilla transgression, 39 Ma (39 - 39 Ma); Wilson Bluff transgression, 42 Ma (42 - 42 Ma)","Cenozoic","Cenozoic","48","0","CZ-s","CENOZOIC; sedimentary rocks"
"1","127","EUS","Scaddan Embayment","Sub-basin","sedimentary rocks","basin","continental margin","EU","Eucla Basin","Basin","Western Australia","Phanerozoic basins","","","","","","","","","Eucla Basin","Scaddan Embayment","","","","","","","","","Tuketja transgression, 36 Ma (36 - 36 Ma); Tortachilla transgression, 39 Ma (39 - 39 Ma); Wilson Bluff transgression, 42 Ma (42 - 42 Ma)","Cenozoic","Cenozoic","48","23","CZ-s","CENOZOIC; sedimentary rocks"
"1","128","EUY","Yalata Sub-basin","Sub-basin","sedimentary rocks","basin","passive margin","EU","Eucla Basin","Basin","Western Australia","Phanerozoic basins","","","","","","","","","Eucla Basin","Yalata Sub-basin","","","","","","","","","Mid-Miocene transgression, 15 Ma (15 - 15 Ma); Mid-Oligocene transgression, 29 Ma (29 - 29 Ma); Wilson Bluff transgression, 42 Ma (42 - 42 Ma)","Cenozoic","Cenozoic","48","0","CZ-s","CENOZOIC; sedimentary rocks"
"33","19","FO","Fortescue Basin","Basin","sedimentary and volcanic rocks","basin","continental rift","WAC","West Australian Craton","WA Unit","Western Australia","West Australian Craton","","","","","","","","","Fortescue Basin","","","","","","","","","","Edmundian Orogeny (1026 - 954 Ma); Capricorn Orogeny (1817 - 1772 Ma); Ophthalmia Orogeny (2215 - 2145 Ma); Pilbara Craton breakup (2775 - 2445 Ma); Fortescue Rifting Event (2775 - 2752 Ma)","Neoarchean","Neoarchean","2775","2629","AN-sv","NEOARCHEAN; sedimentary and volcanic rocks"
"33","314","FOE","Northeast Pilbara Sub-basin","Sub-basin","sedimentary and volcanic rocks","basin","continental rift","FO","Fortescue Basin","Basin","Western Australia","West Australian Craton","","","","","","","","","Fortescue Basin","Northeast Pilbara Sub-basin","","","","","","","","","Pilbara Craton breakup (2775 - 2445 Ma)","Neoarchean","Neoarchean","2775","2630","AN-sv","NEOARCHEAN; sedimentary and volcanic rocks"
"33","313","FOM","Marble Bar Sub-basin","Sub-basin","sedimentary and volcanic rocks","basin","continental rift","FO","Fortescue Basin","Basin","Western Australia","West Australian Craton","","","","","","","","","Fortescue Basin","Marble Bar Sub-basin","","","","","","","","","Pilbara Craton breakup (2775 - 2445 Ma)","Neoarchean","Neoarchean","2775","2630","AN-sv","NEOARCHEAN; sedimentary and volcanic rocks"
"33","317","FOS","South Pilbara Sub-basin","Sub-basin","sedimentary and volcanic rocks","basin","continental rift","FO","Fortescue Basin","Basin","Western Australia","West Australian Craton","","","","","","","","","Fortescue Basin","South Pilbara Sub-basin","","","","","","","","","Edmundian Orogeny (1026 - 954 Ma); Capricorn Orogeny (1817 - 1772 Ma); Ophthalmia Orogeny (2215 - 2145 Ma); Pilbara Craton breakup (2775 - 2445 Ma)","Neoarchean","Neoarchean","2775","2630","AN-sv","NEOARCHEAN; sedimentary and volcanic rocks"
"33","315","FOW","Northwest Pilbara Sub-basin","Sub-basin","sedimentary and volcanic rocks","basin","continental rift","FO","Fortescue Basin","Basin","Western Australia","West Australian Craton","","","","","","","","","Fortescue Basin","Northwest Pilbara Sub-basin","","","","","","","","","Pilbara Craton breakup (2775 - 2445 Ma)","Neoarchean","Neoarchean","2775","2630","AN-sv","NEOARCHEAN; sedimentary and volcanic rocks"
"27","14","GA","Gascoyne Province","Province","igneous, sedimentary, and metamorphic rocks","orogen","undivided","CPO","Capricorn Orogen","Orogen","Western Australia","West Australian Craton","","","","","","","","","","","","Capricorn Orogen","Gascoyne Province","","","","","","Mulka Tectonic Event (570 - 570 Ma); Edmundian Orogeny (1026 - 954 Ma); Edmundian Orogeny D3e/M3e (995 - 954 Ma); Edmundian Orogeny D2e/M2e (1026 - 995 Ma); Edmundian Orogeny D1e/M1e (1026 - 995 Ma); Mutherbukin Tectonic Event (1321 - 1171 Ma); Mangaroon Orogeny (1682 - 1619 Ma); Mangaroon Orogeny D2m/M2m (1677 - 1659 Ma); Mangaroon Orogeny D1m/M1m (1682 - 1677 Ma); Capricorn Orogeny (1817 - 1772 Ma); Capricorn Orogeny D3n/M3n (1786 - 1772 Ma); Capricorn Orogeny D2n/M2n (1808 - 1786 Ma); Capricorn Orogeny D1n/M1n (1813 - 1800 Ma); Glenburgh Orogeny (2002 - 1947 Ma); Ophthalmia Orogeny (2215 - 2145 Ma)","Neoarchean","Paleoproterozoic","2555","1620","P_P-ism","PALEOPROTEROZOIC; igneous, sedimentary, and metamorphic rocks"
"27","294","GAE","Gascoyne Province, Egerton Inlier","Inlier/Outlier","igneous, sedimentary, and metamorphic rocks","orogen","intracratonic orogen","GA","Gascoyne Province","Province","Western Australia","West Australian Craton","","","","","","","","","","","","Capricorn Orogen","Gascoyne Province","","","","","Gascoyne Province, Egerton Inlier","Edmundian Orogeny (1026 - 954 Ma); Mutherbukin Tectonic Event (1321 - 1171 Ma); Capricorn Orogeny (1817 - 1772 Ma)","Neoarchean","Paleoproterozoic","2555","1620","P_P-ism","PALEOPROTEROZOIC; igneous, sedimentary, and metamorphic rocks"
"27","32","GAG","Glenburgh Terrane","Province terrane/zone","igneous, sedimentary, and metamorphic rocks","orogen","accreted terrane","GA","Gascoyne Province","Province","Western Australia","West Australian Craton","","","","","","","","","","","","Capricorn Orogen","Gascoyne Province","Glenburgh Terrane","","","","","Edmundian Orogeny (1026 - 954 Ma); Capricorn Orogeny (1817 - 1772 Ma); Glenburgh Orogeny (2002 - 1947 Ma); Glenburgh Orogeny D2 (1966 - 1947 Ma); Glenburgh Orogeny D1 (2002 - 1987 Ma)","Neoarchean","Paleoproterozoic","2555","1950","P_P-ism","PALEOPROTEROZOIC; igneous, sedimentary, and metamorphic rocks"
"27","295","GAI","Gascoyne Province, Imbin Inlier","Inlier/Outlier","igneous, sedimentary, and metamorphic rocks","orogen","undivided","GA","Gascoyne Province","Province","Western Australia","West Australian Craton","","","","","","","","","","","","Capricorn Orogen","Gascoyne Province","","","","","Gascoyne Province, Imbin Inlier","Capricorn Orogeny (1817 - 1772 Ma); Stanley Fold Belt deformation (2005 - 1620 Ma); Glenburgh Orogeny (2002 - 1947 Ma)","Neoarchean","Paleoproterozoic","2555","1990","P_P-ism","PALEOPROTEROZOIC; igneous, sedimentary, and metamorphic rocks"
"27","113","GAM","Glenburgh Terrane, Miningoo Inlier","Inlier/Outlier","igneous, sedimentary, and metamorphic rocks","orogen","accreted terrane","GAG","Glenburgh Terrane","Province terrane/zone","Western Australia","West Australian Craton","","","","","","","","","","","","Capricorn Orogen","Gascoyne Province","Glenburgh Terrane","","","","Glenburgh Terrane, Miningoo Inlier","Mutherbukin Tectonic Event (1321 - 1171 Ma); Capricorn Orogeny (1817 - 1772 Ma); Glenburgh Orogeny (2002 - 1947 Ma)","Neoarchean","Paleoproterozoic","2555","1950","P_P-ism","PALEOPROTEROZOIC; igneous, sedimentary, and metamorphic rocks"
"27","111","GAR","Glenburgh Terrane, Carrandibby Inlier","Inlier/Outlier","igneous, sedimentary, and metamorphic rocks","orogen","accreted terrane","GAG","Glenburgh Terrane","Province terrane/zone","Western Australia","West Australian Craton","","","","","","","","","","","","Capricorn Orogen","Gascoyne Province","Glenburgh Terrane","","","","Glenburgh Terrane, Carrandibby Inlier","Capricorn Orogeny (1817 - 1772 Ma); Glenburgh Orogeny (2002 - 1947 Ma)","Neoarchean","Paleoproterozoic","2555","1950","P_P-ism","PALEOPROTEROZOIC; igneous, sedimentary, and metamorphic rocks"
"27","112","GAW","Glenburgh Terrane, Weedarra Inlier","Inlier/Outlier","igneous, sedimentary, and metamorphic rocks","orogen","accreted terrane","GAG","Glenburgh Terrane","Province terrane/zone","Western Australia","West Australian Craton","","","","","","","","","","","","Capricorn Orogen","Gascoyne Province","Glenburgh Terrane","","","","Glenburgh Terrane, Weedarra Inlier","Mutherbukin Tectonic Event (1321 - 1171 Ma); Capricorn Orogeny (1817 - 1772 Ma); Glenburgh Orogeny (2002 - 1947 Ma)","Neoarchean","Paleoproterozoic","2555","1950","P_P-ism","PALEOPROTEROZOIC; igneous, sedimentary, and metamorphic rocks"
"20","405","GL","Glidden Basin","Basin","sedimentary rocks","basin","undivided","NAC","North Australian Craton","WA Unit","Western Australia","North Australian Craton","","","","","","","","","Glidden Basin","","","","","","","","","","Alice Springs Orogeny (450 - 295 Ma); Wunaamin Miliwundi Orogeny (670 - 510 Ma); Yampi Orogeny (1000 - 800 Ma)","Paleoproterozoic","Neoproterozoic","1797","635","P_M-s","MESOPROTEROZOIC; sedimentary rocks"
"42","323","GR","Gregory Range Suite","Suite","granitic rocks","igneous","intraplate granites","FOI","Fortescue Large Igneous Province","Supersuite","Western Australia","Large igneous provinces and dyke swarms","Fortescue Large Igneous Province","Gregory Range Granitic Suite","","","","","","","","","","","","","","","","","Fortescue Rifting Event (2775 - 2752 Ma)","Neoarchean","Neoarchean","2766","2752","AN-g","NEOARCHEAN; granitic rocks"
"27","263","GT","Granites--Tanami Orogen","Orogen","igneous, sedimentary, and metamorphic rocks","orogen","undivided","NAC","North Australian Craton","WA Unit","Western Australia","North Australian Craton","","","","","","","","","","","","Granites--Tanami Orogen","","","","","","","Alice Springs Orogeny (450 - 295 Ma); Stafford Event (1810 - 1790 Ma); Tanami Event (1850 - 1830 Ma)","Neoarchean","Paleoproterozoic","2550","1780","P_P-ism","PALEOPROTEROZOIC; igneous, sedimentary, and metamorphic rocks"
"2","82","GU","Gunbarrel Basin","Basin","sedimentary rocks","basin","intracratonic basin","PHB","Phanerozoic basins","WA Unit","Western Australia","Phanerozoic basins","","","","","","","","","Gunbarrel Basin","","","","","","","","","","Timorese Collision (20 - 0.01 Ma); Gondwana breakup - southern margin (100.5 - 93.9 Ma); Aptian transgression (123 - 121 Ma)","Mesozoic","Cenozoic","145","0","MZ-s","MESOZOIC; sedimentary rocks"
"32","18","HA","Hamersley Basin","Basin","sedimentary and volcanic rocks","basin","undivided","WAC","West Australian Craton","WA Unit","Western Australia","West Australian Craton","","","","","","","","","Hamersley Basin","","","","","","","","","","Paterson Orogeny (635 - 540 Ma); Miles Orogeny (650 - 600 Ma); Edmundian Orogeny (1026 - 954 Ma); Capricorn Orogeny (1817 - 1772 Ma); Ophthalmia Orogeny (2215 - 2145 Ma); South Pilbara Subsidence (2690 - 2445 Ma)","Neoarchean","Paleoproterozoic","2629","2445","ANP_P-sv","NEOARCHEAN-PALEOPROTEROZOIC; sedimentary and volcanic rocks"
"34","310","HAC","Carawine Sub-basin","Sub-basin","sedimentary rocks","basin","continental margin","HA","Hamersley Basin","Basin","Western Australia","West Australian Craton","","","","","","","","","Hamersley Basin","Carawine Sub-basin","","","","","","","","","Paterson Orogeny (635 - 540 Ma); Miles Orogeny (650 - 600 Ma); Ophthalmia Orogeny (2215 - 2145 Ma)","Neoarchean","Neoarchean","2629","2504","AN-s","NEOARCHEAN; sedimentary rocks"
"13","60","HCOD","Durack Fold Belt","Orogenic Foreland","sedimentary and volcanic rocks","orogen","reactivated orogen","HCO","Halls Creek Orogen","Orogen","Western Australia","North Australian Craton","","","","","","","","","","","","Halls Creek Orogen","","","","Durack Fold Belt","","","Alice Springs Orogeny (450 - 295 Ma); Wunaamin Miliwundi Orogeny (670 - 510 Ma); Yampi Orogeny (1000 - 800 Ma)","Neoproterozoic","Paleozoic","1000","299","P_NPZ-sv","NEOPROTEROZOIC-PALEOZOIC; sedimentary and volcanic rocks"
"11","88","HT","Hart-Carson Large Igneous Province","Supersuite","mafic/ultramafic intrusive/extrusive rocks","igneous","large igneous province","LIP","Large igneous provinces and dyke swarms","WA Unit","Western Australia","Large igneous provinces and dyke swarms","Hart-Carson Large Igneous Province","","","","","","","","","","","","","","","","","","Alice Springs Orogeny (450 - 295 Ma); Wunaamin Miliwundi Orogeny (670 - 510 Ma); Yampi Orogeny (1000 - 800 Ma); Hart-Carson Supersuite Magmatic Event (1797 - 1791 Ma)","Paleoproterozoic","Paleoproterozoic","1797","1791","P_P-LIP","PALEOPROTEROZOIC; mafic/ultramafic intrusive/extrusive rocks"
"7","377","KA","Kalkarindji Large Igneous Province","Supersuite","mafic/ultramafic intrusive/extrusive rocks","igneous","large igneous province","LIP","Large igneous provinces and dyke swarms","WA Unit","Western Australia","Large igneous provinces and dyke swarms","Kalkarindji Large Igneous Province","","","","","","","","","","","","","","","","","","Alice Springs Orogeny (450 - 295 Ma); Kalkarindji Supersuite Magmatic Event (511 - 511 Ma)","Paleozoic","Paleozoic","512","510","PZ-LIP","PALEOZOIC; mafic/ultramafic intrusive/extrusive rocks"
"12","296","KE","Kelly Large Igneous Province","Domain","mafic/ultramafic intrusive/extrusive rocks","igneous","large igneous province","PEP","East Pilbara Terrane","Craton Terrane","Western Australia","West Australian Craton","","","Pilbara Craton","","East Pilbara Terrane","Kelly Large Igneous Province","","","","","","","","","","","","","Pilbara Craton breakup (2775 - 2445 Ma); Split Rock Supersuite Magmatic Event (2890 - 2830 Ma); North Pilbara Orogeny (2955 - 2919 Ma); Prinsep Orogeny (3068 - 3066 Ma); East Pilbara Terrane Rifting Event (3220 - 3165 Ma); Emu Pool Event (3300 - 3290 Ma)","Paleoarchean","Paleoarchean","3350","3315","AP-LIP","PALEOARCHEAN; mafic/ultramafic intrusive/extrusive rocks"
"31","234","KKBB","Biranup Zone","Province terrane/zone","igneous and metamorphic rocks","orogen","undivided","KKB","Kepa Kurl Booya Province","Province","Western Australia","West Australian Craton","","","","","","","","","","","","Albany-Fraser Orogen","Kepa Kurl Booya Province","Biranup Zone","","","","","Albany-Fraser Orogeny (1330 - 1140 Ma); Albany-Fraser Orogeny Stage II (1225 - 1140 Ma); Albany-Fraser Orogeny Stage I (1330 - 1260 Ma); Zanthus Event (1680 - 1675 Ma); Biranup Orogeny (1710 - 1620 Ma); Ngadju Event (1780 - 1760 Ma); Salmon Gums Event (1815 - 1800 Ma)","Paleoproterozoic","Paleoproterozoic","1815","1600","P_P-im","PALEOPROTEROZOIC; igneous and metamorphic rocks"
"29","232","KKBF","Fraser Zone","Province terrane/zone","igneous and metamorphic rocks","igneous","undivided","KKB","Kepa Kurl Booya Province","Province","Western Australia","West Australian Craton","","","","","","","","","","","","Albany-Fraser Orogen","Kepa Kurl Booya Province","Fraser Zone","","","","","Albany-Fraser Orogeny (1330 - 1140 Ma); Albany-Fraser Orogeny Stage II (1225 - 1140 Ma); Albany-Fraser Orogeny Stage I (1330 - 1260 Ma)","Mesoproterozoic","Mesoproterozoic","1305","1280","P_M-im","MESOPROTEROZOIC; igneous and metamorphic rocks"
"29","233","KKBN","Nornalup Zone","Province terrane/zone","igneous and metamorphic rocks","orogen","undivided","KKB","Kepa Kurl Booya Province","Province","Western Australia","West Australian Craton","","","","","","","","","","","","Albany-Fraser Orogen","Kepa Kurl Booya Province","Nornalup Zone","","","","","Albany-Fraser Orogeny (1330 - 1140 Ma); Albany-Fraser Orogeny Stage II (1225 - 1140 Ma); Albany-Fraser Orogeny Stage I (1330 - 1260 Ma); Biranup Orogeny (1710 - 1620 Ma); Ngadju Event (1780 - 1760 Ma); Salmon Gums Event (1815 - 1800 Ma)","Paleoproterozoic","Mesoproterozoic","1815","1500","P_M-im","MESOPROTEROZOIC; igneous and metamorphic rocks"
"46","393","KKBT","Tropicana Zone","Province terrane/zone","igneous, sedimentary, and metamorphic rocks","craton","undivided","KKB","Kepa Kurl Booya Province","Province","Western Australia","West Australian Craton","","","","","","","","","","","","Albany-Fraser Orogen","Kepa Kurl Booya Province","Tropicana Zone","","","","","Albany-Fraser Orogeny (1330 - 1140 Ma); Albany-Fraser Orogeny Stage II (1225 - 1140 Ma); Albany-Fraser Orogeny Stage I (1330 - 1260 Ma); Biranup Orogeny (1710 - 1620 Ma); Ngadju Event (1780 - 1760 Ma); Salmon Gums Event (1815 - 1800 Ma); Tropicana Event (2520 - 2505 Ma); Atlantis Event (2720 - 2550 Ma)","Neoarchean","Paleoproterozoic","2800","1600","AP_-ism","ARCHEAN-PROTEROZOIC; igneous, sedimentary, and metamorphic rocks"
"21","53","KM","Kimberley Basin","Basin","sedimentary and volcanic rocks","basin","intracratonic basin","NAC","North Australian Craton","WA Unit","Western Australia","North Australian Craton","","","","","","","","","Kimberley Basin","","","","","","","","","","Alice Springs Orogeny (450 - 295 Ma); Wunaamin Miliwundi Orogeny (670 - 510 Ma); Yampi Orogeny (1000 - 800 Ma)","Paleoproterozoic","Paleoproterozoic","1834","1740","P_P-sv","PALEOPROTEROZOIC; sedimentary and volcanic rocks"
"9","3","LIP","Large igneous provinces and dyke swarms","WA Unit","mafic/ultramafic intrusive/extrusive rocks","igneous","large igneous province","WA","STATE","Western Australia","Western Australia","Large igneous provinces and dyke swarms","","","","","","","","","","","","","","","","","","","Western Australian events (4000 - 0.01 Ma)","Eoarchean","Phanerozoic","4000","0","P_-LIP","PROTEROZOIC; mafic/ultramafic intrusive/extrusive rocks"
"31","40","LM","Lamboo Province","Province","igneous and metamorphic rocks","orogen","collisional orogen","HCO","Halls Creek Orogen","Orogen","Western Australia","North Australian Craton","","","","","","","","","","","","Halls Creek Orogen","Lamboo Province","","","","","","Alice Springs Orogeny (450 - 295 Ma); Wunaamin Miliwundi Orogeny (670 - 510 Ma); Yampi Orogeny (1000 - 800 Ma); Halls Creek Orogeny (1832 - 1808 Ma); Hooper Orogeny (1870 - 1850 Ma)","Paleoproterozoic","Paleoproterozoic","1912","1788","P_P-im","PALEOPROTEROZOIC; igneous and metamorphic rocks"
"31","42","LMC","Lamboo Province, Central Zone","Province terrane/zone","igneous and metamorphic rocks","orogen","volcanic arc","LM","Lamboo Province","Province","Western Australia","North Australian Craton","","","","","","","","","","","","Halls Creek Orogen","Lamboo Province","Lamboo Province, Central Zone","","","","","Alice Springs Orogeny (450 - 295 Ma); Wunaamin Miliwundi Orogeny (670 - 510 Ma); Yampi Orogeny (1000 - 800 Ma); Halls Creek Orogeny (1832 - 1808 Ma); Halls Creek Orogeny D2/M2 (1821 - 1808 Ma); Halls Creek Orogeny D1/M1 (1832 - 1821 Ma); Hooper Orogeny (1870 - 1850 Ma); Hooper Orogeny D2/M2 - Central Zone (1850 - 1850 Ma); Hooper Orogeny D1/M1 - Central Zone (1863 - 1850 Ma)","Paleoproterozoic","Paleoproterozoic","1865","1810","P_P-im","PALEOPROTEROZOIC; igneous and metamorphic rocks"
"31","43","LME","Lamboo Province, Eastern Zone","Province terrane/zone","igneous and metamorphic rocks","basin","passive margin","LM","Lamboo Province","Province","Western Australia","North Australian Craton","","","","","","","","","","","","Halls Creek Orogen","Lamboo Province","Lamboo Province, Eastern Zone","","","","","Alice Springs Orogeny (450 - 295 Ma); Wunaamin Miliwundi Orogeny (670 - 510 Ma); Yampi Orogeny (1000 - 800 Ma); Halls Creek Orogeny (1832 - 1808 Ma); Halls Creek Orogeny D2/M2 (1821 - 1808 Ma); Halls Creek Orogeny D1/M1 (1832 - 1821 Ma)","Paleoproterozoic","Paleoproterozoic","1912","1788","P_P-im","PALEOPROTEROZOIC; igneous and metamorphic rocks"
"31","46","LMO","Lamboo Province, Oscar Range Inlier","Inlier/Outlier","igneous and metamorphic rocks","orogen","collisional orogen","LM","Lamboo Province","Province","Western Australia","North Australian Craton","","","","","","","","","","","","Halls Creek Orogen","Lamboo Province","","","","","Lamboo Province, Oscar Range Inlier","Alice Springs Orogeny (450 - 295 Ma); Wunaamin Miliwundi Orogeny (670 - 510 Ma); Yampi Orogeny (1000 - 800 Ma); Hooper Orogeny (1870 - 1850 Ma); Hooper Orogeny D2/M2 - Western Zone (1864 - 1850 Ma); Hooper Orogeny D1/M1 - Western Zone (1870 - 1864 Ma)","Paleoproterozoic","Paleoproterozoic","1864","1854","P_P-im","PALEOPROTEROZOIC; igneous and metamorphic rocks"
"31","47","LMP","Lamboo Province, Pillara Inlier","Inlier/Outlier","igneous and metamorphic rocks","orogen","collisional orogen","LM","Lamboo Province","Province","Western Australia","North Australian Craton","","","","","","","","","","","","Halls Creek Orogen","Lamboo Province","","","","","Lamboo Province, Pillara Inlier","Alice Springs Orogeny (450 - 295 Ma); Wunaamin Miliwundi Orogeny (670 - 510 Ma); Yampi Orogeny (1000 - 800 Ma); Hooper Orogeny (1870 - 1850 Ma); Hooper Orogeny D2/M2 - Western Zone (1864 - 1850 Ma); Hooper Orogeny D1/M1 - Western Zone (1870 - 1864 Ma)","Paleoproterozoic","Paleoproterozoic","1864","1854","P_P-im","PALEOPROTEROZOIC; igneous and metamorphic rocks"
"31","41","LMW","Lamboo Province, Western Zone","Province terrane/zone","igneous and metamorphic rocks","orogen","continental arc","LM","Lamboo Province","Province","Western Australia","North Australian Craton","","","","","","","","","","","","Halls Creek Orogen","Lamboo Province","Lamboo Province, Western Zone","","","","","Alice Springs Orogeny (450 - 295 Ma); Wunaamin Miliwundi Orogeny (670 - 510 Ma); Yampi Orogeny (1000 - 800 Ma); Halls Creek Orogeny (1832 - 1808 Ma); Halls Creek Orogeny D2/M2 (1821 - 1808 Ma); Halls Creek Orogeny D1/M1 (1832 - 1821 Ma); Hooper Orogeny (1870 - 1850 Ma); Hooper Orogeny D2/M2 - Western Zone (1864 - 1850 Ma); Hooper Orogeny D1/M1 - Western Zone (1870 - 1864 Ma)","Paleoproterozoic","Paleoproterozoic","1879","1810","P_P-im","PALEOPROTEROZOIC; igneous and metamorphic rocks"
"22","115","MA","Mount Augustus Basin","Basin","sedimentary rocks","basin","intracratonic basin","CPO","Capricorn Orogen","Orogen","Western Australia","West Australian Craton","","","","","","","","","Mount Augustus Basin","","","Capricorn Orogen","","","","","","","Edmundian Orogeny (1026 - 954 Ma); Mutherbukin Tectonic Event (1321 - 1171 Ma)","Paleoproterozoic","Paleoproterozoic","1680","1610","P_P-s","PALEOPROTEROZOIC; sedimentary rocks"
"29","236","MAD","Madura Province","Province","igneous and metamorphic rocks","igneous","oceanic ophiolite","WA","STATE","Western Australia","Western Australia","","","","","","","","","","","","","","Madura Province","","","","","","Madura Province events (2000 - 1330 Ma); Maralinga Event (1220 - 1120 Ma)","Paleoproterozoic","Mesoproterozoic","2000","1000","P_M-im","MESOPROTEROZOIC; igneous and metamorphic rocks"
"22","49","MB","Moola Bulla Basin","Basin","sedimentary rocks","basin","intracratonic basin","HCO","Halls Creek Orogen","Orogen","Western Australia","North Australian Craton","","","","","","","","","Moola Bulla Basin","","","Halls Creek Orogen","","","","","","","Alice Springs Orogeny (450 - 295 Ma); Wunaamin Miliwundi Orogeny (670 - 510 Ma); Yampi Orogeny (1000 - 800 Ma)","Paleoproterozoic","Paleoproterozoic","1864","1600","P_P-s","PALEOPROTEROZOIC; sedimentary rocks"
"20","10","MC","Collier Basin","Basin","sedimentary rocks","basin","undivided","CPO","Capricorn Orogen","Orogen","Western Australia","West Australian Craton","","","","","","","","","Collier Basin","","","Capricorn Orogen","","","","","","","Edmundian Orogeny (1026 - 954 Ma)","Mesoproterozoic","Mesoproterozoic","1171","1070","P_M-s","MESOPROTEROZOIC; sedimentary rocks"
"19","29","ME","Edmund Basin","Basin","sedimentary and volcanic rocks","basin","intracratonic basin","CPO","Capricorn Orogen","Orogen","Western Australia","West Australian Craton","","","","","","","","","Edmund Basin","","","Capricorn Orogen","","","","","","","Mulka Tectonic Event (570 - 570 Ma); Edmundian Orogeny (1026 - 954 Ma); Mutherbukin Tectonic Event (1321 - 1171 Ma)","Paleoproterozoic","Mesoproterozoic","1680","1465","P_M-sv","MESOPROTEROZOIC; sedimentary and volcanic rocks"
"2","193","MEE","Eastern Mentelle Sub-basin","Sub-basin","sedimentary rocks","basin","continental margin","MEN","Mentelle Basin","Basin","Western Australia","Phanerozoic basins","","","","","","","","","Mentelle Basin","Eastern Mentelle Sub-basin","","","","","","","","","Gondwana breakup - southern margin (100.5 - 93.9 Ma); Gondwana breakup - western margin (210 - 125 Ma)","Paleozoic","Cenozoic","299","0","MZ-s","MESOZOIC; sedimentary rocks"
"19","293","MEM","Edmund Basin, Minginoo Inlier","Inlier/Outlier","sedimentary and volcanic rocks","basin","intracratonic basin","ME","Edmund Basin","Basin","Western Australia","West Australian Craton","","","","","","","","","Edmund Basin","","","Capricorn Orogen","","","","","","Edmund Basin, Minginoo Inlier","Edmundian Orogeny (1026 - 954 Ma); Mutherbukin Tectonic Event (1321 - 1171 Ma)","Paleoproterozoic","Mesoproterozoic","1680","1465","P_M-sv","MESOPROTEROZOIC; sedimentary and volcanic rocks"
