SITE_ID,DEFAULT_SITE_REF,SITE_TYPE,SITE_SUBTYPE,DEFAULT_SITE_NUM_SYS,SITE_NAME,SITE_SHORTNAME,ALL_SITE_REFERENCES,TEXT_REF,ZONE,EASTING,NORTHING,LATITUDE,LONGITUDE,SPHEROID
61712796,61712796,Groundwater,Bore or Well,AWRC,Eganu - No 2,No 2,20033438 [WIN_ID]; 2038-2-SW-0010 [AQWAB]; 61712796 [SITE_REF],,50,382650.02,6689832.46,-29.916623143,115.784339572,GDA2020
61712797,61712797,Groundwater,Bore or Well,AWRC,Eganu - No 3,No 3,20033439 [WIN_ID]; 2038-2-SW-0011 [AQWAB]; 61712797 [SITE_REF],,50,383421.02,6691314.47,-29.903324844,115.792486419,GDA2020
61712800,61712800,Groundwater,Bore or Well,AWRC,Eganu - 2510,2510,20033445 [WIN_ID]; 2038-2-SW-0017 [AQWAB]; 61712800 [SITE_REF],,50,379704.02,6691183.46,-29.904148788,115.753978909,GDA2020
61712804,61712804,Groundwater,Bore or Well,AWRC,Eganu - 2508,2508,20033450 [WIN_ID]; 2038-2-SW-0022 [AQWAB]; 61712804 [SITE_REF],,50,381660.02,6690503.46,-29.910474003,115.774160011,GDA2020
61712805,61712805,Groundwater,Bore or Well,AWRC,Carnamah - Bore,Bore,20033451 [WIN_ID]; 2038-3-NE-0001 [AQWAB]; 61712805 [SITE_REF],,50,372932.01,6705768.47,-29.771875178,115.685574012,GDA2020
61712809,61712809,Groundwater,Bore or Well,AWRC,Carnamah - No 1 873B,No 1 873B,20033470 [WIN_ID]; 2038-3-NE-0020 [AQWAB]; 61712809 [SITE_REF],,50,369014.01,6704534.46,-29.782599856,115.644904516,GDA2020
61712810,61712810,Groundwater,Bore or Well,AWRC,Carnamah - No 3,No 3,20033471 [WIN_ID]; 2038-3-NE-0021 [AQWAB]; 61712810 [SITE_REF],,50,370097.01,6704944.46,-29.779014999,115.656155364,GDA2020
61712811,61712811,Groundwater,Bore or Well,AWRC,Carnamah - No 1 871B,No 1 871B,20033472 [WIN_ID]; 2038-3-NE-0022 [AQWAB]; 61712811 [SITE_REF],,50,373072.03,6701299.46,-29.812211245,115.686495519,GDA2020
61712812,61712812,Groundwater,Bore or Well,AWRC,Carnamah - No 2,No 2,20033473 [WIN_ID]; 2038-3-NE-0023 [AQWAB]; 61712812 [SITE_REF],,50,371270.03,6702146.46,-29.804382610,115.667953120,GDA2020
61712813,61712813,Groundwater,Bore or Well,AWRC,Carnamah - No 1,No 1,20033475 [WIN_ID]; 2038-3-NE-0025 [AQWAB]; 61712813 [SITE_REF],,50,374134.02,6704320.46,-29.785062858,115.697836146,GDA2020
61712814,61712814,Groundwater,Bore or Well,AWRC,Carnamah - No 2,No 2,20033476 [WIN_ID]; 2038-3-NE-0026 [AQWAB]; 61712814 [SITE_REF],,50,372886.02,6704288.46,-29.785223820,115.684923838,GDA2020
61712815,61712815,Groundwater,Bore or Well,AWRC,Carnamah - 2,2,20033477 [WIN_ID]; 2038-3-NE-0027 [AQWAB]; 61712815 [SITE_REF],,50,378336.02,6700134.46,-29.823252848,115.740826610,GDA2020
61712816,61712816,Groundwater,Bore or Well,AWRC,Carnamah - 3,3,20033478 [WIN_ID]; 2038-3-NE-0028 [AQWAB]; 61712816 [SITE_REF],,50,374822.02,6696639.46,-29.854434921,115.704058688,GDA2020
61712817,61712817,Groundwater,Bore or Well,AWRC,Carnamah - 2,2,20033479 [WIN_ID]; 2038-3-NE-0029 [AQWAB]; 61712817 [SITE_REF],,50,378396.02,6699013.46,-29.833373176,115.741320700,GDA2020
61712818,61712818,Groundwater,Bore or Well,AWRC,Carnamah - Bore,Bore,20033480 [WIN_ID]; 2038-3-NE-0030 [AQWAB]; 61712818 [SITE_REF],,50,377375.02,6695527.46,-29.864724798,115.730356905,GDA2020
61712819,61712819,Groundwater,Bore or Well,AWRC,Carnamah - Bore,Bore,20033489 [WIN_ID]; 2038-3-NE-0039 [AQWAB]; 61712819 [SITE_REF],,50,373549.03,6700804.46,-29.816726359,115.691372474,GDA2020
61712820,61712820,Groundwater,Bore or Well,AWRC,Carnamah - No 1,No 1,20033490 [WIN_ID]; 2038-3-NW-0001 [AQWAB]; 61712820 [SITE_REF],,50,365074.02,6703990.47,-29.787083970,115.604085760,GDA2020
61712821,61712821,Groundwater,Bore or Well,AWRC,Carnamah - No 2,No 2,20033491 [WIN_ID]; 2038-3-NW-0002 [AQWAB]; 61712821 [SITE_REF],,50,366488.02,6704031.46,-29.786867713,115.618716180,GDA2020
61712822,61712822,Groundwater,Bore or Well,AWRC,Carnamah - No 3,No 3,20033492 [WIN_ID]; 2038-3-NW-0003 [AQWAB]; 61712822 [SITE_REF],,50,366691.01,6704535.46,-29.782342414,115.620878174,GDA2020
61712823,61712823,Groundwater,Bore or Well,AWRC,Carnamah - No 4,No 4,20033493 [WIN_ID]; 2038-3-NW-0004 [AQWAB]; 61712823 [SITE_REF],,50,365246.01,6705132.46,-29.776799391,115.606007515,GDA2020
61712824,61712824,Groundwater,Bore or Well,AWRC,Carnamah - 5 849,5 849,20033494 [WIN_ID]; 2038-3-NW-0005 [AQWAB]; 61712824 [SITE_REF],,50,366618.02,6702134.46,-29.803996981,115.619825948,GDA2020
