Gamma,Depth
5.142883754344837,1.7055586302639654
8.166266803656754,2.713352980034614
12.701341377624658,2.965301567477269
17.48836453903519,2.965301567477269
22.023439113003064,2.965301567477269
26.05461651208563,3.4691987423626074
31.3455368483815,3.7211473298052624
30.33774249861088,5.988684616789186
26.306565099528314,6.74453037911718
22.527336287888403,7.24842755400249
18.748107476248492,9.012067666101132
24.03902781254436,9.767913428429097
28.322153799069582,10.271810603314435
33.10917696048014,10.019862015871752
38.14814870933333,11.279604953085055
42.431274695858576,11.279604953085055
47.47024644471179,11.783502127970394
52.76116678100766,12.035450715413049
58.304035704746184,12.035450715413049
63.091058866156686,12.539347890298359
60.823521579172734,14.302988002396972
65.86249332802592,14.051039414954317
70.39756790199382,14.051039414954317
73.42095095130574,14.554936589839656
70.90146507687913,15.058833764724966
67.62613344012456,15.562730939610276
61.5793673415007,16.82247387682358
67.3741848526819,17.074422464266263
71.65731083920713,17.326371051708918
75.94043682573235,17.326371051708918
81.48330574947087,17.326371051708918
86.2703289108814,18.334165401479538
94.3326837090465,18.838062576364877
101.38724415744102,18.58611398892222
108.18985601839282,18.838062576364877
115.49636505422995,18.838062576364877
120.28338821564049,18.838062576364877
126.0782057268217,19.09001116380756
117.00805657888591,20.853651275906174
120.53533680308314,21.861445625676822
121.54313115285379,23.87703432521809
128.59769160124827,24.128982912660746
126.83405148914963,25.89262302475936
121.54313115285376,26.396520199644684
120.0314396281978,28.66405748662862
118.01585092865653,29.67185183639927
110.20544471793406,30.679646186169904
113.73272494213128,32.44328629826853
109.19765036816341,33.70302923548182
99.62360404534232,35.214720760137794
94.33268370904642,35.97056652246576
93.82878653416108,37.73420663456437
86.0183803234386,37.98615522200704
79.46771704992943,38.74200098433502
75.4365396508469,39.749795334105656
77.70407693783082,41.513435446204284
80.72745998714274,43.529024145745566
81.23135716202808,46.04851002017216
78.45992270015881,46.80435578250014
60.57157299172991,47.81215013227079
69.13782496478032,48.567995894598766
69.38977355222298,51.08748176902537
72.66510518897758,52.09527611879601
78.9638198750441,52.09527611879601
84.50668879878262,52.85112188112399
88.28591761042253,53.35501905600931
93.82878653416103,53.858916230894636
98.61580969557158,54.614761993222615
101.6391927448835,56.6303506927639
99.87555263278492,57.89009362997719
97.60801534580096,58.645939392305166
94.33268370904639,58.39399080486251
99.1197068704569,60.409579504403794
97.10411817091565,61.16542526673177
93.32488935927572,62.17321961650241
95.08852947137433,63.181013966273056
94.33268370904636,65.19660266581434
91.81319783461976,65.95244842814232
93.07294077183303,68.72388289001158
88.03396902297985,70.23557441466754
94.83658088393167,71.24336876443817
94.83658088393167,73.51090605142213
90.55345489740645,74.51870040119276
94.83658088393167,75.77844333840606
91.5612492471771,76.7862376881767
88.03396902297985,78.29792921283266
78.71187128760144,79.55767215004596
77.95602552527345,80.56546649981661
69.64172213966569,81.57326084958724
76.19238541317486,82.83300378680055
81.73525433691336,83.58884954912853
84.50668879878262,83.8407981365712
85.51448314855327,86.86418118588311
92.06514642206244,87.11612977332577
92.56904359694772,89.13171847286705
82.2391515117987,89.3836670603097
83.75084303645465,91.14730717240833
75.18459106340421,91.90315293473631
73.92484812619091,94.92653598404823
67.62613344012442,95.17848457149088
67.37418485268176,97.44602185847484
71.65731083920699,97.69797044591749
76.94823117550285,98.45381620824547
76.19238541317486,100.46940490778675
79.71966563737212,100.97330208267208
83.49889444901203,102.48499360732804
83.49889444901203,105.50837665663995
88.28591761042256,106.01227383152528
90.55345489740648,108.53175970595188
91.05735207229185,110.2953998180505
75.18459106340424,110.79929699293581
81.48330574947073,112.56293710503444
80.72745998714277,114.57852580457572
84.00279162389737,115.83826874178902
83.49889444901203,117.34996026644498
79.9716142248148,117.60190885388764
87.78202043553725,119.1136003785436
83.24694586156937,120.12139472831424
65.86249332802583,121.6330862529702
73.42095095130566,123.64867495251147
79.97161422481483,124.90841788972477
79.46771704992949,127.67985235159404
77.70407693783088,128.435698113922
72.41315660153501,129.19154387625
68.38197920245247,129.947389638578
67.87808202756713,131.7110297506766
53.265063955892856,131.96297833811926
58.30403570474607,132.71882410044725
55.28065265543415,134.73441279998852
59.31183005451669,134.98636138743117
59.81572722940203,137.00195008697244
62.839110278713946,137.75779584930044
65.86249332802586,138.51364161162843
62.58716169127129,140.5292303111697
54.52480689310616,142.04092183582566
61.8313159289433,142.79676759815362
65.86249332802586,143.8045619479243
68.88587637733778,145.06430488513757
69.38977355222312,147.07989358467887
65.1066475656979,148.0876879344495
62.58716169127129,149.09548228422014
59.563778641959374,150.35522522143344
60.571572991729994,153.1266596833027
64.85469897825521,153.88250544563067
70.90146507687908,154.63835120795866
71.15341366432173,157.40978566982793
78.4599227001589,157.15783708238524
74.42874530107633,158.92147719448388
79.46771704992952,159.17342578192654
79.46771704992952,161.4409630689105
73.16900236386303,162.95265459356645
83.75084303645474,163.45655176845176
87.02617467320934,164.21239753077975
93.07294077183317,166.73188340520636
89.04176337275064,167.23578058009167
87.53007184809465,169.25136927963297
79.46771704992955,170.00721504196093
79.21576846248686,172.0228037415022
83.7508430364548,172.52670091638754
82.23915151179884,174.03839244104347
78.71187128760158,174.29034102848613
74.68069388851902,174.79423820337144
69.38977355222318,174.54228961592878
68.13003061500987,176.30592972802742
60.06767581684474,178.57346701501135
69.89367072710849,179.581261364782
83.49889444901214,180.58905571455261
96.09632382114512,181.09295288943795
112.72493059236069,181.5968500643233
121.29118256541113,182.60464441409394
124.0626170272804,184.87218170107786
120.03143962819786,185.12413028852055
114.23662211701665,185.62802746340589
99.11970687045704,185.87997605084854
104.15867861931025,185.87997605084854
108.94570178072078,186.88777040061916
108.94570178072078,188.90335910016046
101.63919274488364,189.40725627504577
93.0729407718332,189.91115344993108
82.49110009924149,190.66699921225904
87.5300718480947,190.66699921225904
87.02617467320937,192.934536499243
96.60022099603046,193.4384336741283
106.67816449373686,193.94233084901362
114.74051929190199,195.4540223736696
107.6859588435075,195.9579195485549
96.3482724085878,196.96571389832553
87.27812326065205,197.72155966065353
76.69628258806034,196.96571389832553
70.39756790199382,198.22545683553884
69.64172213966586,200.2410455350801
66.36639050291126,201.24883988485075
69.89367072710851,203.26442858439202
75.18459106340438,204.02027434672002
79.97161422481494,205.53196587137597
79.21576846248692,207.79950315835993
73.92484812619108,208.5553489206879
65.10664756569798,207.79950315835993
57.800138529860845,208.5553489206879
54.52480689310627,208.5553489206879
54.52480689310627,210.31898903278653
51.50142384379433,210.06704044534388
55.78454983031955,212.08262914488515
50.24168090658105,212.58652631977048
47.722195032154445,213.5943206695411
33.61307413536548,213.84626925698376
31.093588260938873,216.36575513141037
35.62866283490678,217.373549481181
44.19491480795719,217.87744665606633
51.2494752563517,219.64108676816494
56.79234418009017,220.90082970537821
89.29371196019332,221.40472688026355
90.55345489740665,223.67226416724748
92.82099218439058,225.68785286678877
86.52227749832409,225.93980145423143
82.49110009924155,225.93980145423143
81.48330574947087,226.69564721655942
67.87808202756725,227.19954439144476
57.04429276753285,226.94759580400208
54.7767554805489,228.45928732865804
58.0520871173035,229.46708167842868
63.84690462848465,230.22292744075668
66.61833909035391,231.2307217905273
64.60275039081262,233.49825907751125
55.78454983031952,233.2463104900686
49.73778373169566,233.49825907751125
48.98193796936769,235.7657963644952
45.958554920055775,236.2696935393805
45.70660633261309,238.53723082636446
50.24168090658097,239.54502517613506
55.53260124287684,240.04892235102037
60.31962440428737,240.5528195259057
62.08326451638598,242.82035681288963
71.65731083920704,244.08009975010293
81.23135716202813,244.3320483375456
92.31709500950518,246.85153421197217
99.87555263278497,246.85153421197217
104.91452438163819,248.11127714918547
105.16647296908084,250.37881443616942
96.85216958347306,250.63076302361208
82.23915151179875,251.1346601984974
67.62613344012448,251.38660878594004
64.35080180336988,251.89050596082538
52.25726960612218,252.142454548268
43.43906904562908,252.39440313571066
42.17932610841578,253.90609466036662
42.431274695858434,256.6775291222359
29.833845323725427,257.4333748845639
38.14814870933321,257.9372720594492
34.3689198976933,259.7009121715478
54.77675548054876,260.70870652131845
57.04429276753268,262.72429522085974
52.76116678100749,263.73208957063036
44.19491480795702,263.22819239574505
41.42348034608776,265.74767827017166
34.11697131025062,268.0152155571556
40.91958317120245,268.5191127320409
44.446863395399674,270.0308042566969
39.9117888214318,271.54249578135284
32.857228373037316,272.55029013112346
37.64425153444785,273.8100330683368
40.667634583759764,275.8256217678781
42.68322328330106,276.8334161176487
48.729989381924895,276.8334161176487
60.823521579172564,278.093159054862
62.33521310382852,279.3529019920753
67.62613344012439,279.604850579518
68.8858763773377,282.6282336288299
76.19238541317483,282.1243364539446
76.9482311755028,284.39187374092853
88.53786619786516,284.6438223283712
85.51448314855324,285.90356526558446
90.80540348484911,286.9113596153551
79.71966563737206,288.42305114001107
106.6781644937366,289.934742664667
153.88335597653003,291.89900644232966
194.0031303946558,292.15292906522916
197.81196973814875,293.67646480262636
205.17572580223512,294.946077917124
214.57086284951774,295.96176840872215
212.28555924342194,297.73922676901884
208.98456514572806,300.27845299801413
204.92180317933557,301.54806611251183
198.57373760684735,302.3098339812104
195.0188208862539,303.3255244728085
191.71782678856002,304.3412149644066
195.27274350915346,306.37259594760286
202.89042219613933,306.8804411934019
214.57086284951774,307.13436381630146
220.6611088494928,307.8879480908113
224.47579361740628,308.1422604086722
222.4412950745191,310.6853835872812
214.30330090297028,311.194008223003
201.33337269206436,312.4655698123075
183.7858227596623,312.2112574944466
163.44083733079026,312.4655698123075
148.94503521271892,312.7198821301684
131.143172962456,313.48281908375105
116.64737084438465,313.99144371947284
110.28956289786214,313.737131401612
110.2895628978622,315.51731762663826
100.62569481914798,316.0259422623601
89.69026515112927,316.5345668980819
97.3196346869563,316.5345668980819
93.2506376011819,318.3147531231082
124.78536501593359,318.82337775883
127.07417587668166,320.85787630171717
123.76811574448996,322.12943789102167
93.50494991904282,321.8751255731608
93.25063760118192,324.16393643390893
81.2979586617196,323.909624116048
75.7030876687798,325.6898103410743
79.51777243669329,326.1984349767961
89.94457746899022,326.1984349767961
90.96182674043382,327.97862120182236
115.12149693721935,328.7415581554051
150.51317724731774,328.73310452991836
175.55413515449902,329.7551844444972
209.28277233560038,330.9792681635928
219.6008736161669,332.52698335567777
226.56559198054924,334.33265107977684
217.02134829602525,335.36446120783353
201.2862438431614,335.36446120783353
157.1763608687397,336.3962713358901
105.84380699792146,337.1701289319326
87.52917722491597,337.686033995961
90.36665507707175,338.71784412401763
82.88603164866106,339.4917017200601
90.10870254505758,341.03941691214504
71.0202151760096,341.81327450818753
74.88950315622202,343.3609897002725
71.0202151760096,344.65075236034335
78.75879113643444,345.6825624884
74.3735980921937,346.9723251484708
78.50083860442027,348.00413527652745
75.92131328427863,349.2938979365982
79.79060126449107,350.0677555326407
73.59974049615121,350.8416131286832
79.79060126449107,352.6472808527824
75.0661365033942,353.7616271202452
60.41522953663531,354.16302183166323
59.01034804667211,356.37069274446253
51.785243241147185,357.77557423442573
55.79919035532771,359.18045572438893
53.59151944252841,360.384639858643
52.989427375401334,361.78952134860623
46.36641463700349,363.3951001942785
42.75386223424101,364.3985869728236
46.36641463700349,365.8034684627868
51.98594059685621,366.4055605299138
61.01732160376238,367.409047308459
96.3476187565455,368.55018027920664
134.84313819175298,370.37365225245327
154.69872190043895,370.37365225245327
169.0838896893849,371.3866922375903
164.2212977607271,372.8049482167822
167.66563371019305,373.4127722078644
165.03172974883677,374.42581219300143
168.27345770127528,375.2362441811111
162.80304178153526,375.6414601751659
157.53523385882266,376.4518921632755
122.89706246877013,377.0114953881713
88.33033859171788,378.0341795265457
74.01276065447735,379.26140049259493
83.62599155519601,379.26140049259493
81.17154962309763,380.4886214586441
90.17117004079171,380.4886214586441
100.36207368079894,380.4468559726806
97.2794519101073,382.5019371531417
112.48705264551941,382.7074452711878
