Gamma,Depth,Gamma_real,Depth_real
44.19491481,217.8774467,33.61068491,125.5807711
51.24947526,219.6410868,39.61341783,126.6057914
56.79234418,220.9008297,44.32985084,127.3379487
89.29371196,221.4047269,71.98529894,127.6308116
90.5534549,223.6722642,73.05721553,128.9486948
92.82099218,225.6878529,74.9866654,130.1201465
86.5222775,225.9398015,69.62708243,130.2665779
82.4911001,225.9398015,66.19694934,130.2665779
81.48330575,226.6956472,65.33941606,130.7058723
67.87808203,227.1995444,53.76271686,130.9987353
57.04429277,226.9475958,44.54423416,130.8523038
54.77675548,228.4592873,42.61478429,131.7308926
58.05208712,229.4670817,45.40176743,132.3166184
63.84690463,230.2229274,50.33258376,132.7559128
66.61833909,231.2307218,52.69080026,133.3416387
64.60275039,233.4982591,50.97573371,134.6595218
55.78454983,233.2463105,43.47231756,134.5130904
49.73778373,233.4982591,38.32711792,134.6595218
48.98193797,235.7657964,37.68396796,135.977405
45.95855492,236.2696935,35.11136814,136.2702679
45.70660633,238.5372308,34.89698482,137.5881511
50.24168091,239.5450252,38.75588455,138.1738769
55.53260124,240.0489224,43.25793424,138.4667399
60.3196244,240.5528195,47.3312173,138.7596028
62.08326452,242.8203568,48.83190053,140.077486
71.65731084,244.0800998,56.97846664,140.8096433
81.23135716,244.3320483,65.12503274,140.9560747
92.31709501,246.8515342,74.55789876,142.4203894
99.87555263,246.8515342,80.98939832,142.4203894
104.9145244,248.1112771,85.27706469,143.1525467
105.166473,250.3788144,85.49144801,144.4704299
96.85216958,250.630763,78.4167985,144.6168613
82.23915151,251.1346602,65.98256602,144.9097243
67.62613344,251.3866088,53.54833354,145.0561557
64.3508018,251.890506,50.7613504,145.3490186
52.25726961,252.1424545,40.4709511,145.4954501
43.43906905,252.3944031,32.96753495,145.6418816
42.17932611,253.9060947,31.89561836,146.5204703
42.4312747,256.6775291,32.11000168,148.1312164
29.83384532,257.4333749,21.39083574,148.5705108
38.14814871,257.9372721,28.46548526,148.8633738
34.3689199,259.7009122,25.24973548,149.888394
54.77675548,260.7087065,42.61478429,150.4741199
57.04429277,262.7242952,44.54423416,151.6455716
52.76116678,263.7320896,40.89971774,152.2312974
44.19491481,263.2281924,33.61068491,151.9384345
41.42348035,265.7476783,31.2524684,153.4027491
34.11697131,268.0152156,25.03535216,154.7206323
40.91958317,268.5191127,30.82370176,155.0134952
44.4468634,270.0308043,33.82506822,155.892084
39.91178882,271.5424958,29.96616849,156.7706728
32.85722837,272.5502901,23.96343557,157.3563986
37.64425153,273.8100331,28.03671862,158.0885559
40.66763458,275.8256218,30.60931844,159.2600076
42.68322328,276.8334161,32.32438499,159.8457335
48.72998938,276.8334161,37.46958464,159.8457335
60.82352158,278.0931591,47.75998393,160.5778908
62.3352131,279.352902,49.04628385,161.3100481
67.62613344,279.6048506,53.54833354,161.4564796
68.88587638,282.6282336,54.62025013,163.2136572
76.19238541,282.1243365,60.83736637,162.9207942
76.94823118,284.3918737,61.48051633,164.2386774
88.5378662,284.6438223,71.34214898,164.3851089
85.51448315,285.9035653,68.76954916,165.1172662
90.80540348,286.9113596,73.27159885,165.702992
79.71966564,288.4230511,63.83873283,166.5815808
106.6781645,289.9347427,86.77774792,167.4601696
153.883356,291.8990064,126.9446951,168.6017915
194.0031304,292.1529291,161.0826535,168.7493702
197.8119697,293.6764648,164.3235989,169.6348428
205.1757258,294.9460779,170.5894267,170.3727366
214.5708628,295.9617684,178.5837587,170.9630517
212.2855592,297.7392268,176.6391914,171.996103
208.9845651,300.278453,173.8303721,173.4718907
204.9218032,301.5480661,170.3733636,174.2097845
198.5737376,302.309834,164.971788,174.6525208
195.0188209,303.3255245,161.9469056,175.2428359
191.7178268,304.341215,159.1380862,175.8331509
195.2727435,306.3725959,162.1629686,177.013781
202.8904222,306.8804412,168.6448594,177.3089386
214.5708628,307.1343638,178.5837587,177.4565173
220.6611088,307.8879481,183.7659554,177.8944973
224.4757936,308.1422604,187.0118747,178.0423026
222.4412951,310.6853836,185.2807178,179.5203551
214.3033009,311.1940082,178.3560899,179.8159656
201.3333727,312.4655698,167.3199644,180.5549919
183.7858228,312.2112575,152.3887356,180.4071866
163.4408373,312.4655698,135.0771661,180.5549919
148.9450352,312.7198821,122.7426728,180.7027972
131.143173,313.4828191,107.5950494,181.1462129
116.6473708,313.9914437,95.26055612,181.4418234
110.2895629,313.7371314,89.85069063,181.2940182
110.2895629,315.5173176,89.85069063,182.3286549
100.6256948,316.0259423,81.6276951,182.6242654
89.69026515,316.5345669,72.32272647,182.919876
97.31963469,316.5345669,78.81456505,182.919876
93.2506376,318.3147531,75.35225114,183.9545127
124.785365,318.8233778,102.1851839,184.2501232
127.0741759,320.8578763,104.1327355,185.4325653
123.7681157,322.1294379,101.3196055,186.1715915
93.50494992,321.8751256,75.56864576,186.0237863
93.2506376,324.1639364,75.35225114,187.3540336
81.29795866,323.9096241,65.18170403,187.2062283
75.70308767,325.6898103,60.4210224,188.2408651
79.51777244,326.198435,63.66694169,188.5364756
89.94457747,326.198435,72.53912109,188.5364756
90.96182674,327.9786212,73.40469956,189.5711124
115.1214969,328.7415582,93.9621884,190.0145281
150.5131772,328.7331045,124.0770065,190.0096149
175.5541352,329.7551844,145.384384,190.6036435
209.2827723,330.9792682,174.0841169,191.3150758
219.6008736,332.5269834,182.8638001,192.2146014
226.565592,334.3326511,188.7900863,193.2640479
217.0213483,335.3644612,180.6688793,193.8637316
201.2862438,335.3644612,167.2798624,193.8637316
157.1763609,336.3962713,129.7467164,194.4634153
105.843807,337.1701289,86.06779225,194.9131781
87.52917722,337.686034,70.48385447,195.21302
90.36665508,338.7178441,72.89826737,195.8127037
82.88603165,339.4917017,66.53299701,196.2624665
90.10870255,341.0394169,72.67877529,197.1619921
71.02021518,341.8132745,56.43636126,197.6117549
74.88950316,343.3609897,59.72874249,198.5112805
71.02021518,344.6507524,56.43636126,199.2608851
78.75879114,345.6825625,63.02112371,199.8605688
74.37359809,346.9723251,59.28975832,200.6101735
78.5008386,348.0041353,62.80163162,201.2098572
75.92131328,349.2938979,60.60671081,201.9594619
79.79060126,350.0677555,63.89909203,202.4092247
73.5997405,350.8416131,58.63128208,202.8589875
79.79060126,352.6472809,63.89909203,203.908434
75.0661365,353.7616271,59.87903999,204.5560873
60.41522954,354.1630218,47.41256781,204.7893763
59.01034805,356.3706927,46.21715266,206.0724654
51.78524324,357.7755742,40.06930337,206.8889766
55.79919036,359.1804557,43.4847752,207.7054878
53.59151944,360.3846399,41.60626569,208.4053546
52.98942738,361.7895213,41.09394492,209.2218658
46.36641464,363.3951002,35.4584164,210.1550215
42.75386223,364.398587,32.38449175,210.7382438
46.36641464,365.8034685,35.4584164,211.5547551
51.9859406,366.4055605,40.24007696,211.9046885
61.0173216,367.4090473,47.92488858,212.4879108
96.34761876,368.5501803,77.98747567,213.1511325
134.8431382,370.3736523,110.7433537,214.2109267
154.6987219,370.3736523,127.6384908,214.2109267
169.0838897,371.3866922,139.8788453,214.7997013
164.2212978,372.8049482,135.7412607,215.6239858
167.6656337,373.4127722,138.6720498,215.9772505
165.0317297,374.4258122,136.4308581,216.5660251
168.2734577,375.2362442,139.1892478,217.0370448
162.8030418,375.6414602,134.5344652,217.2725546
157.5352339,376.4518922,130.0520819,217.7435743
122.8970625,377.0114954,100.5784253,218.0688133
88.33033859,378.0341795,71.16556352,218.6631931
74.01276065,379.2614005,58.98272137,219.3764488
83.62599156,379.2614005,67.16262967,219.3764488
81.17154962,380.4886215,65.07414245,220.0897044
90.17117004,380.4886215,72.73192894,220.0897044
100.3620737,380.446856,81.40337959,220.0654305
97.27945191,382.5019372,78.78037348,221.2598351
112.4870526,382.7074453,91.72053698,221.3792756
127.4891453,383.5294777,104.4858334,221.8570374
145.7530184,383.8819398,120.0265823,222.0618869
167.4338406,385.1208439,138.4748167,222.7819327
155.4577674,385.327328,128.2843634,222.9019404
163.3041602,386.3597481,134.9608673,223.5019786
152.5669911,386.5662321,125.8245988,223.6219863
154.8383153,388.0116202,127.757271,224.4620398
144.3411322,388.5285131,118.8252069,224.7624558
117.1878247,389.4352451,95.72042884,225.2894446
85.45247472,389.575667,68.71678612,225.3710572
84.04825569,391.1203079,67.52193467,226.2687961
86.15458423,391.6819955,69.31421184,226.5952465
83.06530238,392.6649488,66.68553866,227.1665349
66.49551789,393.3670584,52.58629158,227.574598
55.68862167,393.9403565,43.39069219,227.9077965
47.14911689,394.2203403,36.12441857,228.0705219
45.32922243,395.6202591,34.57586845,228.8841488
38.04964458,395.760251,28.38166799,228.9655115
40.1495228,396.3202185,30.16845659,229.2909623
37.34968517,397.4401536,27.78607179,229.9418639
40.00953092,397.8601292,30.04933735,230.185952
39.02958775,398.8400724,29.21550267,230.7554908
50.9288977,399.4000399,39.34063804,231.0809416
47.28910877,401.2199344,36.24353781,232.1386566
51.76884899,401.0799425,40.05535348,232.0572939
50.22893829,402.6198532,38.74504184,232.9522836
60.17308125,402.2065275,47.20652357,232.7120605
60.17308125,403.7440786,47.20652357,233.6056787
67.72105898,403.0451917,53.62910578,233.1994886
76.10770091,403.6043012,60.76530823,233.5244406
87.28989014,404.0236333,70.28024484,233.7681547
100.988072,404.8622975,81.93604218,234.2555828
114.5464764,405.0020749,93.47290282,234.3368208
130.6208734,405.840739,107.1506242,234.8242489
144.1792779,406.2600711,118.6874848,235.067963
155.6410218,406.3998485,128.4402949,235.149201
173.2969867,406.7051369,143.463774,235.3266334
182.2290091,406.9886932,151.0640412,235.4914351
195.4143753,407.2722494,162.2834832,235.6562368
203.9210632,407.839362,169.521833,235.9858402
206.0477352,408.5482526,171.3314204,236.3978445
200.0930537,408.8318089,166.2645756,236.5626462
186.1987967,409.1153652,154.4419377,236.7274479
168.192974,409.6824777,139.1207642,237.0570513
160.1116205,409.5406996,132.2443319,236.9746505
151.03782,409.8242558,124.5234256,237.1394522
134.3080005,409.5406996,110.2880045,236.9746505
106.0941522,409.8242558,86.28081129,237.1394522
86.95410445,409.966034,69.99452444,237.2218531
77.73852588,410.3913683,62.15297892,237.4690556
52.36024028,410.8167027,40.55856896,237.7162582
43.41609918,411.216453,32.94798987,237.9485914
45.12551596,412.4985156,34.4025344,238.6937208
40.99442541,413.6381268,30.88738511,239.356058
46.40757854,414.065481,35.49344281,239.6044345
49.96886349,414.065481,38.52374393,239.6044345
54.66975963,414.9201894,42.5237414,240.1011874
55.66691941,416.9145089,43.37222572,241.2602776
54.38485683,419.1937313,42.28131731,242.5849521
46.12267574,418.6239257,35.25101872,242.2537835
46.26512714,420.1908911,35.37223076,243.1644972
44.12835617,420.4757939,33.55405009,243.3300815
45.12551596,421.6154051,34.4025344,243.9924187
42.41893939,422.0427593,32.09950555,244.2407952
43.70100198,423.8946275,33.19041396,245.3170932
40.13971702,423.8946275,30.16011284,245.3170932
40.28216842,425.0342386,30.28132488,245.9794305
36.15107788,425.17669,26.76617558,246.0622226
37.14823767,426.0313984,27.6146599,246.5589756
35.01146669,426.7436554,25.79647923,246.9729363
32.87469572,428.4530722,23.97829855,247.9664422
37.43314046,428.737975,27.85708399,248.1320265
41.7066824,428.5955236,31.49344533,248.0492344
42.41893939,430.5898432,32.09950555,249.2083245
50.39621769,431.1596488,38.88738006,249.5394932
58.08859318,431.1596488,45.43283048,249.5394932
82.65787998,431.698337,66.33886252,249.8525765
106.9896164,433.9883828,87.0427627,251.1835415
132.7526315,434.7040221,108.9645394,251.5994681
158.3797674,434.9828095,130.7706963,251.7614981
187.9093565,435.8428946,155.8974548,252.261376
197.0522847,436.6777931,163.677182,252.7466155
199.06868,437.9740472,165.3929349,253.499993
201.2291036,438.406132,167.2312416,253.7511188
198.2045106,438.9822449,164.6576123,254.0859533
196.3321435,439.5583579,163.0644131,254.4207877
194.4597764,441.1426685,161.471214,255.3415824
191.8672681,441.5747532,159.265246,255.5927082
185.8180821,441.5747532,154.1179872,255.5927082
175.0159642,442.4389226,144.9264537,256.0949599
174.5838794,444.0232333,144.5587924,257.0157546
166.5182981,443.7351768,137.6957807,256.8483374
166.8063546,445.4635156,137.9408882,257.8528407
152.2595025,445.7515721,125.5629565,258.0202579
164.7899592,447.0478263,136.2251353,258.7736354
189.8508727,447.7679675,157.549493,259.1921784
206.2700919,448.3440804,171.5206239,259.5270128
216.6401251,448.6321369,180.3444961,259.69443
224.41765,448.4881087,186.9624002,259.6107214
220.816944,450.504504,183.8985557,260.782642
223.5534805,450.504504,186.2270775,260.782642
221.6811134,452.0888146,184.6338784,261.7034367
226.5780736,453.2410405,188.8007069,262.3731055
222.1131982,453.8171535,185.0015397,262.70794
219.0886051,454.5372947,182.4279104,263.126483
212.7513627,455.1134076,177.035544,263.4613174
198.0604823,455.9775771,164.5350585,263.9635691
175.3040206,457.7059159,145.1715613,264.9680724
146.3543447,458.7141136,120.5382515,265.5540327
140.7372434,459.1461983,115.7586541,265.8051585
145.346147,460.2984242,119.680375,266.4748273
141.0252999,461.0185654,116.0037616,266.8933704
139.873074,462.3148196,115.0233314,267.6467479
134.580768,462.4660283,110.5201027,267.7346298
109.6899733,462.8927276,89.34049919,267.9826256
77.68752286,463.7461263,62.1095804,268.4786174
56.49478903,464.0305925,44.07666085,268.6439479
34.02195718,464.3150588,24.95450454,268.8092785
44.1205082,466.8752548,33.54737225,270.2972537
55.49915724,467.4441872,43.22947671,270.6279149
88.92393878,468.8665184,71.67065855,271.4545678
118.0817269,469.2932177,96.48105123,271.7025636
147.097282,470.0043833,121.1704176,272.1158901
183.0822596,470.857782,151.7900729,272.6118818
217.4308509,471.3224517,181.0173256,272.8819459
236.9587066,471.7532132,197.6335985,273.1323027
238.3945783,473.3326722,198.8553833,274.0502776
238.3945783,474.9121311,198.8553833,274.9682525
236.3843579,476.2044156,197.1448846,275.7193229
231.3588068,476.7787643,192.8686379,276.053132
223.4615123,477.2095258,186.1488216,276.3034887
195.174839,477.9274617,162.0796615,276.7207501
165.452294,478.6453976,136.7887167,277.1380114
132.8580055,478.9325719,109.0542022,277.3049159
100.9816529,478.5018104,81.93058018,277.0545591
86.33576113,479.2197463,69.46837546,277.4718204
92.65359678,479.794095,74.84422848,277.8056295
91.36131222,481.0863795,73.74462218,278.5566999
93.94588135,481.3735539,75.94383478,278.7236044
92.51000961,482.9530128,74.72205,279.6415793
99.25860679,481.9479026,80.46443845,279.0574135
99.11501961,483.3837743,80.34225997,279.8919361
105.2892681,483.3837743,85.59593451,279.8919361
122.3743789,483.7896348,100.1336733,280.1278205
124.9629146,484.7962876,102.336261,280.7128829
122.3743789,485.2277102,100.1336733,280.9636239
119.0668055,486.6657856,97.31925564,281.7994273
106.4117423,487.3848232,86.55104897,282.2173289
79.66354036,486.9534006,63.79097577,281.9665879
50.18299524,488.5352835,38.70594886,282.8859717
44.5745013,488.8228986,33.93367545,283.0531323
44.14307868,490.1171664,33.56657749,283.8053554
44.5745013,491.9866644,33.93367545,284.8918998
42.99261839,492.5618946,32.58764961,285.2262211
35.65843399,492.9933172,26.34698438,285.4769621
37.2403169,494.1437775,27.69301022,286.1456048
33.06989832,495.1504302,24.14439665,286.7306672
38.3907772,495.7256604,28.6719381,287.0649885
48.02588219,496.0132755,36.87045909,287.2321492
56.05793426,496.9571011,43.70494067,287.7806967
60.97060924,497.6795533,47.88514098,288.2005829
67.76165994,499.1244577,53.66365318,289.0403553
76.72006725,499.8469099,61.2863714,289.4602415
102.2420843,500.6289456,83.00308262,289.9147574
135.0507202,501.8524166,110.9199855,290.6258336
164.9165269,503.0020461,136.3328319,291.2939934
198.0815707,503.7873349,164.5530026,291.7504
212.9050161,504.570711,177.1662879,292.2056949
216.6090333,504.8670324,180.31804,292.3779156
212.460534,506.3486393,176.7880777,293.2390193
207.4230707,506.4967999,172.5016948,293.3251297
204.0153749,506.7931213,169.6020828,293.4973505
190.9772344,507.3857641,158.5079154,293.8417919
142.7016515,508.6256691,117.430171,294.5624195
113.0621037,508.9205899,92.20984852,294.7338263
86.07684372,509.6578921,69.24806236,295.1623432
75.75461313,509.8053526,60.46486548,295.2480466
74.57492964,510.6901152,59.46107155,295.762267
73.69016701,511.7223382,58.7082261,296.3621907
64.69508036,511.7223382,51.05429738,296.3621907
63.22047599,513.344403,49.79955497,297.3049279
61.74587162,513.7867844,48.54481255,297.5620381
59.82888594,513.9342448,46.91364742,297.6477415
58.79666288,515.70377,46.03532773,298.6761821
60.41872768,516.7359931,47.41554438,299.2761059
64.40015948,517.3258348,50.8033489,299.6189194
72.95286483,517.1783744,58.08085489,299.533216
85.63446241,518.063137,68.87163964,300.0474364
99.64320393,519.2428205,80.79169256,300.7330635
111.4400389,521.1598062,90.82963186,301.8472075
95.956693,522.0445688,77.65483653,302.3614278
74.28000876,524.4039358,59.21012306,303.732682
63.36793642,526.4683819,49.92502921,304.9325295
57.61697938,528.9752094,45.0315338,306.3894871
63.07301555,530.1548929,49.67408073,307.0751142
71.92064177,530.0074324,57.2025352,306.9894108
99.00838098,531.9988796,80.25152105,308.1468316
132.50284,532.5943367,108.7519915,308.4929087
166.9364341,533.8881655,138.051573,309.2448766
200.3235571,534.8369133,166.4607112,309.7962848
211.044209,535.4408937,175.5829252,310.1473157
215.7250571,535.4408937,179.5658637,310.1473157
217.8389884,535.5918888,181.3646102,310.2350734
217.9899835,537.5548251,181.4930921,311.3759238
215.8760522,539.064776,179.6943456,312.2535009
209.8362482,540.2727368,174.5550701,312.9555627
201.6825129,539.9707466,167.6170482,312.7800472
178.8822531,541.6316927,148.2162831,313.7453821
152.0051257,543.1416437,125.346507,314.6229593
136.7546208,543.2926388,112.3698363,314.710717
113.5013757,543.8966192,92.58362554,315.0617479
102.1767434,544.5005996,82.94748394,315.4127788
96.58777363,544.3474534,78.1918237,315.3237709
94.1603795,545.5611504,76.12635148,316.0291665
