SITE_ID,DEFAULT_SITE_REF,SITE_TYPE,SITE_SUBTYPE,DEFAULT_SITE_NUM_SYS,SITE_NAME,SITE_SHORTNAME,ALL_SITE_REFERENCES,TEXT_REF,ZONE,EASTING,NORTHING,LATITUDE,LONGITUDE,SPHEROID
617019,617019,Stream Gauging,Stream Gauging,AWRC,Gingin Brook - Fork In Gingin,Fork In Gingin,23021239 [WIN_ID]; 617019 [SITE_REF]; G19 [TEXT_REF],G19,50,393391.01,6530288.48,-31.357011093,115.879114004,GDA2020
617020,617020,Stream Gauging,Stream Gauging,AWRC,Gingin Brook - Gingin Northern Trib,Gingin Northern Trib,23021237 [WIN_ID]; 617020 [SITE_REF]; G20 [TEXT_REF],G20,50,392969.02,6530300.48,-31.356864019,115.874679117,GDA2020
617021,617021,Stream Gauging,Stream Gauging,AWRC,Gingin Brook - Gingin Southern Trib,Gingin Southern Trib,23021238 [WIN_ID]; 617021 [SITE_REF]; G21 [TEXT_REF],G21,50,393186.01,6530187.48,-31.357903372,115.876948155,GDA2020
701005,701005,Stream Gauging,Stream Gauging,AWRC,Arrowsmith River - Robb Crossing,Robb Crossing,16479 [WIN_ID]; 701005 [SITE_REF],,50,334440.07,6722251.49,-29.618626406,115.290054153,GDA2020
701014,701014,Stream Gauging,Stream Gauging,AWRC,Lockier River - Mingenew,Mingenew,23000304 [WIN_ID]; 701014 [SITE_REF],,50,348510.01,6771041.48,-29.180233196,115.442051231,GDA2020

