Year,Month,Total Rainfall (mm),Date,Month Type,Year Type,Class
1914,6,32.10,1/06/1914,Dry,Dry,1913_Dry
1914,7,40.55,1/07/1914,Wet,Dry,1914_Wet
1914,8,19.50,1/08/1914,Dry,Dry,1914_Dry
1914,9,2.20,1/09/1914,Dry,Dry,1914_Dry
1914,10,13.85,1/10/1914,Dry,Dry,1914_Dry
1914,11,39.45,1/11/1914,Dry,Dry,1914_Dry
1914,12,9.00,1/12/1914,Dry,Dry,1914_Dry
1915,1,19.10,1/01/1915,Dry,Dry,1914_Dry
1915,2,78.50,1/02/1915,Wet,Dry,1914_Dry
1915,3,6.90,1/03/1915,Dry,Dry,1914_Dry
1915,4,28.95,1/04/1915,Dry,Dry,1914_Dry
1915,5,43.95,1/05/1915,Wet,Dry,1915_Wet
1915,6,103.85,1/06/1915,Wet,Dry,1915_Wet
1915,7,98.45,1/07/1915,Wet,Dry,1915_Wet
1915,8,67.25,1/08/1915,Wet,Dry,1915_Wet
1915,9,38.15,1/09/1915,Dry,Dry,1915_Dry
1915,10,38.90,1/10/1915,Dry,Dry,1915_Dry
1915,11,3.95,1/11/1915,Dry,Dry,1915_Dry
1915,12,6.00,1/12/1915,Dry,Dry,1915_Dry
1916,1,104.95,1/01/1916,Wet,Dry,1915_Dry
1916,2,16.75,1/02/1916,Dry,Dry,1915_Dry
1916,3,1.15,1/03/1916,Dry,Dry,1915_Dry
1916,4,0.50,1/04/1916,Dry,Dry,1915_Dry
1916,5,34.10,1/05/1916,Dry,Dry,1915_Dry
1916,6,86.30,1/06/1916,Wet,Dry,1916_Wet
1916,7,66.60,1/07/1916,Wet,Dry,1916_Wet
1916,8,69.75,1/08/1916,Wet,Dry,1916_Wet
1916,9,3.05,1/09/1916,Dry,Dry,1916_Wet
1916,10,51.20,1/10/1916,Wet,Dry,1916_Wet
1916,11,9.15,1/11/1916,Dry,Dry,1916_Dry
1916,12,0.00,1/12/1916,Dry,Dry,1916_Dry
1917,1,0.00,1/01/1917,Dry,Wet,1916_Dry
1917,2,2.80,1/02/1917,Dry,Wet,1916_Dry
1917,3,93.45,1/03/1917,Wet,Wet,1917_Wet
1917,4,17.75,1/04/1917,Dry,Wet,1917_Wet
1917,5,51.00,1/05/1917,Wet,Wet,1917_Wet
1917,6,159.70,1/06/1917,Wet,Wet,1917_Wet
1917,7,138.30,1/07/1917,Wet,Wet,1917_Wet
1917,8,108.55,1/08/1917,Wet,Wet,1917_Wet
1917,9,85.85,1/09/1917,Wet,Wet,1917_Wet
1917,10,41.90,1/10/1917,Wet,Wet,1917_Wet
1917,11,0.15,1/11/1917,Dry,Wet,1917_Dry
1917,12,30.80,1/12/1917,Dry,Wet,1917_Dry
1918,1,7.15,1/01/1918,Dry,Dry,1917_Dry
1918,2,73.55,1/02/1918,Wet,Dry,1918_Wet
1918,3,22.60,1/03/1918,Dry,Dry,1918_Wet
1918,4,81.80,1/04/1918,Wet,Dry,1918_Wet
1918,5,47.60,1/05/1918,Wet,Dry,1918_Wet
1918,6,142.15,1/06/1918,Wet,Dry,1918_Wet
1918,7,52.15,1/07/1918,Wet,Dry,1918_Wet
1918,8,55.45,1/08/1918,Wet,Dry,1918_Wet
1918,9,70.75,1/09/1918,Wet,Dry,1918_Wet
1918,10,22.95,1/10/1918,Dry,Dry,1918_Dry
1918,11,10.40,1/11/1918,Dry,Dry,1918_Dry
1918,12,0.65,1/12/1918,Dry,Dry,1918_Dry
1919,1,0.25,1/01/1919,Dry,Dry,1918_Dry
1919,2,0.75,1/02/1919,Dry,Dry,1918_Dry
1919,3,0.00,1/03/1919,Dry,Dry,1918_Dry
1919,4,31.30,1/04/1919,Dry,Dry,1918_Dry
1919,5,12.10,1/05/1919,Dry,Dry,1918_Dry
1919,6,69.40,1/06/1919,Wet,Dry,1919_Wet
1919,7,111.30,1/07/1919,Wet,Dry,1919_Wet
1919,8,83.90,1/08/1919,Wet,Dry,1919_Wet
1919,9,11.60,1/09/1919,Dry,Dry,1919_Dry
1919,10,7.90,1/10/1919,Dry,Dry,1919_Dry
1919,11,12.35,1/11/1919,Dry,Dry,1919_Dry
1919,12,15.35,1/12/1919,Dry,Dry,1919_Dry
1920,1,2.40,1/01/1920,Dry,Dry,1919_Dry
1920,2,0.75,1/02/1920,Dry,Dry,1919_Dry
1920,3,33.20,1/03/1920,Dry,Dry,1919_Dry
1920,4,9.20,1/04/1920,Dry,Dry,1919_Dry
1920,5,71.20,1/05/1920,Wet,Dry,1920_Wet
1920,6,99.25,1/06/1920,Wet,Dry,1920_Wet
1920,7,57.30,1/07/1920,Wet,Dry,1920_Wet
1920,8,108.70,1/08/1920,Wet,Dry,1920_Wet
1920,9,27.95,1/09/1920,Dry,Dry,1920_Dry
1920,10,6.40,1/10/1920,Dry,Dry,1920_Dry
1920,11,1.05,1/11/1920,Dry,Dry,1920_Dry
1920,12,0.00,1/12/1920,Dry,Dry,1920_Dry
1921,1,6.25,1/01/1921,Dry,Dry,1920_Dry
1921,2,31.15,1/02/1921,Dry,Dry,1920_Dry
1921,3,21.70,1/03/1921,Dry,Dry,1920_Dry
1921,4,1.50,1/04/1921,Dry,Dry,1920_Dry
1921,5,154.80,1/05/1921,Wet,Dry,1921_Wet
1921,6,61.05,1/06/1921,Wet,Dry,1921_Wet
1921,7,58.10,1/07/1921,Wet,Dry,1921_Wet
1921,8,43.10,1/08/1921,Wet,Dry,1921_Wet
1921,9,48.25,1/09/1921,Wet,Dry,1921_Wet
1921,10,19.60,1/10/1921,Dry,Dry,1921_Dry
1921,11,3.70,1/11/1921,Dry,Dry,1921_Dry
1921,12,30.55,1/12/1921,Dry,Dry,1921_Dry
1922,1,1.15,1/01/1922,Dry,Dry,1921_Dry
1922,2,2.30,1/02/1922,Dry,Dry,1921_Dry
1922,3,10.40,1/03/1922,Dry,Dry,1921_Dry
1922,4,42.20,1/04/1922,Wet,Dry,1921_Dry
1922,5,24.65,1/05/1922,Dry,Dry,1921_Dry
1922,6,30.90,1/06/1922,Dry,Dry,1921_Dry
1922,7,68.30,1/07/1922,Wet,Dry,1922_Wet
1922,8,19.90,1/08/1922,Dry,Dry,1922_Dry
1922,9,18.25,1/09/1922,Dry,Dry,1922_Dry
1922,10,5.50,1/10/1922,Dry,Dry,1922_Dry
1922,11,0.65,1/11/1922,Dry,Dry,1922_Dry
1922,12,1.70,1/12/1922,Dry,Dry,1922_Dry
1923,1,11.50,1/01/1923,Dry,Dry,1922_Dry
1923,2,25.70,1/02/1923,Dry,Dry,1922_Dry
1923,3,1.15,1/03/1923,Dry,Dry,1922_Dry
1923,4,32.90,1/04/1923,Dry,Dry,1922_Dry
1923,5,30.30,1/05/1923,Dry,Dry,1923_Dry
1923,6,204.55,1/06/1923,Wet,Dry,1923_Wet
1923,7,53.90,1/07/1923,Wet,Dry,1923_Wet
1923,8,29.25,1/08/1923,Dry,Dry,1923_Dry
1923,9,36.65,1/09/1923,Dry,Dry,1923_Dry
1923,10,7.40,1/10/1923,Dry,Dry,1923_Dry
1923,11,0.00,1/11/1923,Dry,Dry,1923_Dry
1923,12,0.00,1/12/1923,Dry,Dry,1923_Dry
1924,1,0.00,1/01/1924,Dry,Dry,1923_Dry
1924,2,4.45,1/02/1924,Dry,Dry,1923_Dry
1924,3,1.65,1/03/1924,Dry,Dry,1923_Dry
1924,4,0.80,1/04/1924,Dry,Dry,1923_Dry
1924,5,30.10,1/05/1924,Dry,Dry,1924_Dry
1924,6,76.90,1/06/1924,Wet,Dry,1924_Wet
1924,7,91.45,1/07/1924,Wet,Dry,1924_Wet
1924,8,70.20,1/08/1924,Wet,Dry,1924_Wet
1924,9,24.40,1/09/1924,Dry,Dry,1924_Dry
1924,10,38.05,1/10/1924,Dry,Dry,1924_Dry
