Year,Month,Total Rainfall (mm),Date,Month Type,Year Type,Class
1912,10,24.7,1912-10-01,Dry,Dry,1912_Dry
1912,11,11.4,1912-11-01,Dry,Dry,1912_Dry
1912,12,1.25,1912-12-01,Dry,Dry,1912_Dry
1913,1,5.75,1913-01-01,Dry,Dry,1912_Dry
1913,2,1.5,1913-02-01,Dry,Dry,1912_Dry
1913,3,15.8,1913-03-01,Dry,Dry,
1913,4,1.2,1913-04-01,Dry,Dry,
1913,5,6.0,1913-05-01,Dry,Dry,
1913,6,66.7,1913-06-01,Wet,Dry,1913_Wet
1913,7,66.6,1913-07-01,Wet,Dry,1913_Wet
1913,8,98.2,1913-08-01,Wet,Dry,1913_Wet
1913,9,57.25,1913-09-01,Wet,Dry,1913_Wet
1913,10,24.7,1913-10-01,Dry,Dry,1913_Dry
1913,11,1.15,1913-11-01,Dry,Dry,1913_Dry
1913,12,7.9,1913-12-01,Dry,Dry,1913_Dry
1914,1,7.0,1914-01-01,Dry,Dry,1913_Dry
1914,2,1.45,1914-02-01,Dry,Dry,1913_Dry
1914,3,0.0,1914-03-01,Dry,Dry,
1914,4,5.0,1914-04-01,Dry,Dry,
1914,5,7.85,1914-05-01,Dry,Dry,
1914,6,32.1,1914-06-01,Dry,Dry,
1914,7,40.55,1914-07-01,Wet,Dry,1914_Wet
1914,8,19.5,1914-08-01,Dry,Dry,1914_Dry
1914,9,2.1999999999999997,1914-09-01,Dry,Dry,1914_Dry
1914,10,13.85,1914-10-01,Dry,Dry,1914_Dry
1914,11,39.45,1914-11-01,Dry,Dry,1914_Dry
1914,12,9.0,1914-12-01,Dry,Dry,1914_Dry
1915,1,19.099999999999998,1915-01-01,Dry,Dry,
1915,2,78.5,1915-02-01,Wet,Dry,
1915,3,6.8999999999999995,1915-03-01,Dry,Dry,
1915,4,28.95,1915-04-01,Dry,Dry,
1915,5,43.95,1915-05-01,Wet,Dry,1915_Wet
1915,6,103.85,1915-06-01,Wet,Dry,1915_Wet
1915,7,98.45,1915-07-01,Wet,Dry,1915_Wet
1915,8,67.25,1915-08-01,Wet,Dry,1915_Wet
1915,9,38.15,1915-09-01,Dry,Dry,1915_Dry
1915,10,38.9,1915-10-01,Dry,Dry,1915_Dry
1915,11,3.95,1915-11-01,Dry,Dry,1915_Dry
1915,12,6.0,1915-12-01,Dry,Dry,1915_Dry
1916,1,104.95,1916-01-01,Wet,Dry,1915_Dry
1916,2,16.75,1916-02-01,Dry,Dry,
1916,3,1.15,1916-03-01,Dry,Dry,
1916,4,0.5,1916-04-01,Dry,Dry,
1916,5,34.1,1916-05-01,Dry,Dry,
1916,6,86.3,1916-06-01,Wet,Dry,1916_Wet
1916,7,66.6,1916-07-01,Wet,Dry,1916_Wet
1916,8,69.75,1916-08-01,Wet,Dry,1916_Wet
1916,9,3.05,1916-09-01,Dry,Dry,
1916,10,51.2,1916-10-01,Wet,Dry,1916_Wet
1916,11,9.15,1916-11-01,Dry,Dry,1916_Dry
1916,12,0.0,1916-12-01,Dry,Dry,1916_Dry
1917,1,0.0,1917-01-01,Dry,Wet,1916_Dry
1917,2,2.8,1917-02-01,Dry,Wet,1916_Dry
1917,3,93.45,1917-03-01,Wet,Wet,1916_Dry
1917,4,17.75,1917-04-01,Dry,Wet,
1917,5,51.0,1917-05-01,Wet,Wet,1917_Wet
1917,6,159.7,1917-06-01,Wet,Wet,1917_Wet
1917,7,138.29999999999998,1917-07-01,Wet,Wet,1917_Wet
1917,8,108.55,1917-08-01,Wet,Wet,1917_Wet
1917,9,85.85000000000001,1917-09-01,Wet,Wet,1917_Wet
1917,10,41.9,1917-10-01,Wet,Wet,1917_Wet
1917,11,0.15,1917-11-01,Dry,Wet,1917_Dry
1917,12,30.8,1917-12-01,Dry,Wet,1917_Dry
1918,1,7.1499999999999995,1918-01-01,Dry,Dry,1917_Dry
1918,2,73.55,1918-02-01,Wet,Dry,1917_Dry
1918,3,22.6,1918-03-01,Dry,Dry,1917_Dry
1918,4,81.8,1918-04-01,Wet,Dry,
1918,5,47.6,1918-05-01,Wet,Dry,1918_Wet
1918,6,142.15,1918-06-01,Wet,Dry,1918_Wet
1918,7,52.15,1918-07-01,Wet,Dry,1918_Wet
1918,8,55.449999999999996,1918-08-01,Wet,Dry,1918_Wet
1918,9,70.75,1918-09-01,Wet,Dry,1918_Wet
1918,10,22.95,1918-10-01,Dry,Dry,1918_Dry
1918,11,10.4,1918-11-01,Dry,Dry,1918_Dry
1918,12,0.65,1918-12-01,Dry,Dry,1918_Dry
1919,1,0.25,1919-01-01,Dry,Dry,1918_Dry
1919,2,0.75,1919-02-01,Dry,Dry,1918_Dry
1919,3,0.0,1919-03-01,Dry,Dry,
1919,4,31.3,1919-04-01,Dry,Dry,
1919,5,12.1,1919-05-01,Dry,Dry,
1919,6,69.4,1919-06-01,Wet,Dry,1919_Wet
1919,7,111.3,1919-07-01,Wet,Dry,1919_Wet
1919,8,83.9,1919-08-01,Wet,Dry,1919_Wet
1919,9,11.599999999999998,1919-09-01,Dry,Dry,1919_Dry
1919,10,7.9,1919-10-01,Dry,Dry,1919_Dry
1919,11,12.35,1919-11-01,Dry,Dry,1919_Dry
1919,12,15.350000000000001,1919-12-01,Dry,Dry,1919_Dry
1920,1,2.4,1920-01-01,Dry,Dry,1919_Dry
1920,2,0.75,1920-02-01,Dry,Dry,
1920,3,33.2,1920-03-01,Dry,Dry,
1920,4,9.2,1920-04-01,Dry,Dry,
1920,5,71.2,1920-05-01,Wet,Dry,1920_Wet
1920,6,99.25,1920-06-01,Wet,Dry,1920_Wet
1920,7,57.3,1920-07-01,Wet,Dry,1920_Wet
1920,8,108.7,1920-08-01,Wet,Dry,1920_Wet
1920,9,27.95,1920-09-01,Dry,Dry,1920_Dry
1920,10,6.3999999999999995,1920-10-01,Dry,Dry,1920_Dry
1920,11,1.05,1920-11-01,Dry,Dry,1920_Dry
1920,12,0.0,1920-12-01,Dry,Dry,1920_Dry
1921,1,6.25,1921-01-01,Dry,Dry,1920_Dry
1921,2,31.15,1921-02-01,Dry,Dry,
1921,3,21.7,1921-03-01,Dry,Dry,
1921,4,1.5,1921-04-01,Dry,Dry,
1921,5,154.8,1921-05-01,Wet,Dry,1921_Wet
1921,6,61.05,1921-06-01,Wet,Dry,1921_Wet
1921,7,58.099999999999994,1921-07-01,Wet,Dry,1921_Wet
1921,8,43.099999999999994,1921-08-01,Wet,Dry,1921_Wet
1921,9,48.24999999999999,1921-09-01,Wet,Dry,1921_Wet
1921,10,19.6,1921-10-01,Dry,Dry,1921_Dry
1921,11,3.7,1921-11-01,Dry,Dry,1921_Dry
1921,12,30.55,1921-12-01,Dry,Dry,1921_Dry
1922,1,1.15,1922-01-01,Dry,Dry,1921_Dry
1922,2,2.3,1922-02-01,Dry,Dry,1921_Dry
1922,3,10.4,1922-03-01,Dry,Dry,
1922,4,42.199999999999996,1922-04-01,Wet,Dry,
1922,5,24.65,1922-05-01,Dry,Dry,
1922,6,30.900000000000002,1922-06-01,Dry,Dry,
1922,7,68.3,1922-07-01,Wet,Dry,1922_Wet
1922,8,19.9,1922-08-01,Dry,Dry,1922_Dry
1922,9,18.25,1922-09-01,Dry,Dry,1922_Dry
1922,10,5.5,1922-10-01,Dry,Dry,1922_Dry
1922,11,0.65,1922-11-01,Dry,Dry,1922_Dry
1922,12,1.7000000000000002,1922-12-01,Dry,Dry,1922_Dry
1923,1,11.5,1923-01-01,Dry,Dry,1922_Dry
1923,2,25.700000000000003,1923-02-01,Dry,Dry,1922_Dry
1923,3,1.15,1923-03-01,Dry,Dry,1922_Dry
1923,4,32.9,1923-04-01,Dry,Dry,1922_Dry
1923,5,30.3,1923-05-01,Dry,Dry,1923_Dry
1923,6,204.55,1923-06-01,Wet,Dry,1923_Wet
1923,7,53.9,1923-07-01,Wet,Dry,1923_Wet
1923,8,29.25,1923-08-01,Dry,Dry,1923_Dry
1923,9,36.65,1923-09-01,Dry,Dry,1923_Dry
1923,10,7.4,1923-10-01,Dry,Dry,1923_Dry
1923,11,0.0,1923-11-01,Dry,Dry,1923_Dry
1923,12,0.0,1923-12-01,Dry,Dry,1923_Dry
1924,1,0.0,1924-01-01,Dry,Dry,1923_Dry
1924,2,4.45,1924-02-01,Dry,Dry,1923_Dry
1924,3,1.65,1924-03-01,Dry,Dry,1923_Dry
1924,4,0.8,1924-04-01,Dry,Dry,1923_Dry
1924,5,30.099999999999998,1924-05-01,Dry,Dry,1924_Dry
1924,6,76.9,1924-06-01,Wet,Dry,1924_Wet
1924,7,91.45,1924-07-01,Wet,Dry,1924_Wet
