cell_ID,slope,slope_Factor
265,0.026482,0.777417
266,0.034799,0.707513
267,0.014882,0.874920
268,0.027094,0.772274
269,0.017894,0.849600
270,0.015729,0.867795
271,0.039114,0.671249
272,0.024082,0.797594
273,0.019647,0.834868
274,0.016192,0.863903
275,0.018043,0.848347
276,0.026525,0.777056
277,0.021158,0.822168
278,0.019184,0.838754
279,0.015050,0.873506
280,0.023232,0.804732
281,0.013598,0.885707
282,0.012868,0.891845
283,0.022148,0.813843
284,0.008466,0.928847
285,0.004610,0.961253
286,0.022627,0.809824
287,0.017853,0.849944
288,0.028060,0.764159
289,0.007386,0.937924
290,0.008985,0.924481
291,0.023777,0.800150
292,0.004500,0.962180
293,0.030657,0.742324
294,0.029357,0.753251
295,0.018413,0.845242
296,0.030030,0.747594
297,0.017048,0.856712
298,0.010722,0.909881
299,0.020523,0.827505
300,0.021716,0.817481
301,0.028243,0.762621
302,0.026365,0.778404
303,0.009809,0.917552
304,0.038442,0.676897
305,0.023753,0.800357
306,0.016513,0.861207
307,0.006576,0.944729
308,0.025113,0.788926
309,0.023557,0.802005
310,0.015830,0.866953
311,0.036191,0.695812
312,0.025955,0.781846
313,0.018012,0.848606
314,0.018199,0.847034
315,0.007350,0.938221
316,0.012078,0.898488
317,0.026722,0.775403
318,0.031104,0.738574
319,0.015437,0.870255
320,0.020713,0.825904
321,0.007262,0.938959
322,0.019028,0.840068
323,0.019902,0.832728
324,0.009313,0.921727
325,0.021742,0.817261
326,0.012268,0.896886
327,0.020805,0.825130
328,0.030975,0.739658
329,0.014020,0.882163
330,0.019489,0.836196
331,0.028058,0.764172
332,0.013482,0.886681
333,0.019648,0.834860
334,0.010410,0.912503
335,0.020947,0.823940
336,0.036288,0.694999
337,0.016006,0.865469
338,0.027507,0.768805
339,0.026632,0.776160
340,0.005011,0.957883
341,0.017394,0.853803
342,0.020168,0.830485
343,0.036323,0.694705
344,0.022931,0.807262
345,0.022065,0.814545
346,0.017450,0.853331
347,0.021979,0.815268
348,0.014024,0.882132
349,0.022681,0.809367
350,0.008329,0.929995
351,0.014734,0.876160
352,0.021075,0.822861
353,0.015454,0.870105
354,0.014123,0.881299
355,0.010839,0.908895
356,0.017835,0.850100
357,0.015276,0.871608
358,0.010924,0.908187
359,0.042183,0.645452
360,0.010458,0.912100
361,0.007283,0.938784
362,0.022696,0.809244
363,0.006499,0.945373
364,0.023106,0.805791
365,0.011772,0.901057
366,0.023746,0.800411
367,0.015171,0.872485
368,0.016072,0.864914
369,0.011534,0.903055
370,0.022950,0.807105
371,0.012503,0.894910
372,0.021083,0.822798
373,0.016668,0.859906
374,0.035860,0.698599
375,0.015228,0.872008
376,0.036361,0.694388
377,0.021895,0.815969
378,0.023420,0.803155
379,0.024403,0.794895
380,0.001085,0.990883
381,0.014791,0.875686
382,0.013058,0.890250
383,0.025225,0.787985
384,0.019894,0.832791
385,0.029461,0.752383
386,0.029718,0.750221
387,0.020041,0.831557
388,0.024204,0.796567
389,0.037302,0.686475
390,0.005953,0.949967
391,0.016000,0.865524
392,0.020526,0.827476
393,0.006189,0.947980
394,0.019918,0.832586
395,0.036473,0.693446
396,0.009501,0.920141
397,0.026512,0.777163
398,0.030289,0.745425
399,0.021011,0.823404
400,0.014131,0.881233
401,0.017109,0.856199
402,0.022729,0.808961
403,0.013705,0.884807
404,0.027252,0.770948
405,0.028851,0.757509
406,0.012398,0.895791
407,0.009225,0.922460
408,0.005802,0.951232
409,0.025414,0.786392
410,0.001276,0.989277
411,0.015851,0.866776
412,0.002839,0.976136
413,0.002146,0.981967
414,0.010763,0.909539
415,0.015646,0.868494
416,0.026866,0.774194
417,0.015344,0.871033
418,0.015561,0.869210
419,0.014450,0.878547
420,0.021819,0.816609
421,0.002116,0.982219
422,0.021667,0.817891
423,0.030443,0.744125
424,0.025514,0.785552
425,0.012642,0.893741
426,0.016133,0.864400
427,0.009462,0.920471
428,0.008384,0.929534
429,0.030008,0.747783
430,0.019757,0.833944
431,0.014665,0.876742
432,0.002857,0.975987
433,0.017617,0.851928
434,0.028968,0.756524
435,0.028409,0.761218
436,0.014609,0.877209
437,0.004751,0.960067
438,0.034983,0.705969
439,0.007151,0.939897
440,0.020367,0.828816
441,0.036264,0.695200
442,0.015771,0.867448
443,0.021635,0.818156
444,0.012009,0.899068
445,0.005926,0.950193
446,0.013716,0.884713
447,0.034722,0.708161
448,0.015925,0.866152
449,0.018575,0.843881
450,0.016796,0.858833
451,0.014454,0.878512
452,0.015302,0.871384
453,0.022759,0.808712
454,0.010178,0.914450
455,0.034890,0.706749
456,0.019282,0.837938
457,0.004539,0.961848
458,0.008013,0.932648
459,0.019550,0.835686
460,0.024920,0.790550
461,0.030875,0.740492
462,0.024877,0.790906
463,0.024650,0.792815
464,0.022916,0.807390
465,0.026634,0.776139
466,0.030764,0.741424
467,0.010502,0.911732
468,0.019793,0.833643
469,0.030118,0.746861
470,0.027272,0.770783
471,0.022154,0.813795
472,0.031703,0.733533
473,0.034009,0.714157
474,0.014640,0.876950
475,0.039988,0.663902
476,0.011750,0.901238
477,0.029187,0.754680
478,0.027476,0.769061
479,0.027327,0.770314
480,0.040060,0.663295
481,0.043625,0.633336
482,0.027074,0.772447
483,0.004447,0.962620
484,0.031451,0.735652
485,0.021576,0.818657
486,0.018449,0.844937
487,0.011662,0.901980
488,0.014490,0.878208
489,0.015676,0.868239
490,0.028259,0.762485
491,0.004628,0.961098
492,0.029402,0.752872
493,0.006185,0.948016
494,0.003048,0.974385
495,0.006781,0.943009
496,0.014501,0.878120
497,0.015197,0.872273
498,0.010277,0.913620
499,0.028907,0.757040
500,0.025180,0.788365
501,0.015052,0.873486
502,0.026580,0.776595
503,0.017598,0.852085
504,0.012213,0.897353
505,0.011671,0.901905
506,0.023557,0.802001
507,0.024996,0.789907
508,0.015448,0.870162
509,0.013130,0.889638
510,0.015044,0.873554
511,0.020419,0.828379
512,0.015712,0.867939
513,0.028010,0.764576
514,0.006416,0.946070
515,0.017363,0.854068
516,0.018269,0.846445
517,0.016559,0.860825
518,0.009612,0.919213
519,0.009478,0.920335
520,0.012172,0.897690
521,0.014835,0.875312
522,0.016451,0.861727
523,0.014713,0.876336
524,0.009992,0.916014
525,0.011775,0.901035
526,0.008225,0.930869
527,0.005469,0.954036
528,0.009650,0.918890
529,0.016177,0.864029
530,0.015718,0.867892
531,0.014622,0.877105
532,0.017248,0.855029
533,0.011195,0.905903
534,0.039678,0.666503
535,0.037641,0.683624
536,0.012430,0.895526
537,0.007758,0.934792
538,0.012026,0.898920
539,0.017223,0.855243
540,0.013566,0.885974
541,0.024281,0.795917
542,0.016289,0.863094
543,0.006670,0.943939
544,0.013169,0.889315
545,0.008729,0.926637
546,0.024808,0.791489
547,0.034362,0.711189
548,0.015823,0.867011
549,0.031032,0.739172
550,0.020244,0.829846
551,0.028838,0.757615
552,0.021342,0.820623
553,0.028292,0.762204
554,0.004718,0.960341
555,0.018867,0.841424
556,0.019636,0.834960
557,0.020704,0.825982
558,0.009700,0.918472
559,0.009955,0.916327
560,0.011789,0.900912
561,0.017597,0.852099
562,0.015130,0.872834
563,0.026365,0.778399
564,0.024692,0.792466
565,0.027502,0.768846
566,0.023217,0.804863
567,0.028112,0.763718
568,0.022742,0.808849
569,0.026920,0.773739
570,0.017718,0.851077
571,0.022087,0.814357
572,0.029826,0.749311
573,0.031087,0.738715
574,0.029912,0.748587
575,0.019530,0.835847
576,0.020241,0.829878
577,0.005686,0.952213
578,0.012257,0.896978
579,0.030796,0.741158
580,0.018870,0.841401
581,0.027161,0.771710
582,0.034420,0.710703
583,0.027629,0.767776
584,0.011500,0.903346
585,0.026697,0.775615
586,0.016788,0.858895
587,0.039078,0.671550
588,0.006441,0.945859
589,0.028986,0.756374
590,0.006388,0.946306
591,0.009453,0.920544
592,0.014019,0.882174
593,0.016709,0.859561
594,0.008887,0.925301
595,0.013975,0.882543
596,0.011592,0.902569
597,0.007015,0.941043
598,0.003777,0.968250
599,0.013225,0.888840
600,0.004941,0.958472
601,0.006199,0.947896
602,0.012526,0.894722
603,0.006892,0.942069
604,0.007104,0.940290
605,0.006858,0.942359
606,0.008589,0.927807
607,0.005469,0.954032
608,0.010690,0.910153
609,0.012484,0.895070
610,0.009058,0.923870
611,0.009780,0.917799
612,0.006684,0.943825
613,0.012649,0.893686
614,0.009814,0.917517
615,0.010069,0.915372
616,0.017814,0.850270
617,0.009321,0.921660
618,0.013329,0.887971
619,0.006663,0.943995
620,0.014872,0.875002
