SITE_ID,DEFAULT_SITE_REF,SITE_TYPE,SITE_SUBTYPE,DEFAULT_SITE_NUM_SYS,SITE_NAME,SITE_SHORTNAME,ALL_SITE_REFERENCES,TEXT_REF,ZONE,EASTING,NORTHING,LATITUDE,LONGITUDE,SPHEROID
61610581,61610581,Groundwater,Bore or Well,AWRC,Joondalup Monitoring - JP21,JP21,2034-4-NE-0080 [AQWAB]; 4922 [WIN_ID]; 61610581 [SITE_REF],,50,375061.01,6504770.51,-31.585359649,115.683213585,GDA2020
61615150,61615150,Groundwater,Bore or Well,AWRC,Artesian Monitoring - AM22C,AM22C,23045218 [WIN_ID]; 61615150 [SITE_REF],,50,395228.95,6501484.67,-31.617013655,115.895385562,GDA2020
61615151,61615151,Groundwater,Bore or Well,AWRC,Artesian Monitoring - AM22D,AM22D,23045842 [WIN_ID]; 61615151 [SITE_REF],,50,395227.52,6501481.27,-31.617044195,115.895370125,GDA2020
61615152,61615152,Groundwater,Bore or Well,AWRC,Artesian Monitoring - AM14C,AM14C,23050243 [WIN_ID]; 61615152 [SITE_REF],,50,386759.45,6516637.45,-31.479524717,115.807845510,GDA2020
61615153,61615153,Groundwater,Bore or Well,AWRC,Artesian Monitoring - AM14D,AM14D,23050244 [WIN_ID]; 61615153 [SITE_REF],,50,386754.17,6516636.38,-31.479533852,115.807789812,GDA2020
61615154,61615154,Groundwater,Bore or Well,AWRC,Artesian Monitoring - AM14E,AM14E,23050245 [WIN_ID]; 61615154 [SITE_REF],,50,386770.95,6516631.99,-31.479575097,115.807965931,GDA2020
61615157,61615157,Groundwater,Bore or Well,AWRC,Artesian Monitoring - AM17B,AM17B,23050617 [WIN_ID]; 61615157 [SITE_REF],,50,384292.52,6510057.21,-31.538637061,115.781109346,GDA2020
61615158,61615158,Groundwater,Bore or Well,AWRC,Artesian Monitoring - AM17C,AM17C,23050618 [WIN_ID]; 61615158 [SITE_REF],,50,384293.09,6510062.99,-31.538584980,115.781116027,GDA2020
61615159,61615159,Groundwater,Bore or Well,AWRC,Artesian Monitoring - AM21B,AM21B,23050645 [WIN_ID]; 61615159 [SITE_REF],,50,387298.03,6503735.34,-31.595961153,115.812041460,GDA2020
61615160,61615160,Groundwater,Bore or Well,AWRC,Artesian Monitoring - AM21C,AM21C,23050646 [WIN_ID]; 61615160 [SITE_REF],,50,387301.22,6503748.38,-31.595843839,115.812076572,GDA2020
61615161,61615161,Groundwater,Bore or Well,AWRC,Artesian Monitoring - AM18B,AM18B,23051730 [WIN_ID]; 61615161 [SITE_REF],,50,399960.03,6510639.58,-31.534849975,115.946188144,GDA2020
61615174,61615174,Groundwater,Bore or Well,AWRC,Two Rocks - AM74,AM74,23059758 [WIN_ID]; 61615174 [SITE_REF]; AM74 [TEXT_REF],AM74,50,371647.51,6517258.99,-31.472338206,115.648868601,GDA2020
61620166,61620166,Groundwater,Bore or Well,AWRC,Artesian Monitoring - AM12A,AM12A,23086944 [WIN_ID]; 61620166 [SITE_REF],,50,367534.26,6511903.42,-31.520180434,115.604863221,GDA2020
61621501,61621501,Groundwater,Bore or Well,AWRC,Artesian Monitoring - Am15A,Am15A,23073568 [WIN_ID]; 61621501 [SITE_REF],,50,400912.50,6517432.05,-31.473657269,115.956900587,GDA2020
61710015,61710015,Groundwater,Bore or Well,AWRC,Yanchep Monitoring - YY10 (O),YY10 (O),2035-3-NW-0032 [AQWAB]; 61710015 [SITE_REF]; 6261 [WIN_ID],,50,367183.17,6535488.46,-31.307404166,115.604320051,GDA2020
61710019,61710019,Groundwater,Bore or Well,AWRC,Yanchep Monitoring - YY8 (O),YY8 (O),2035-3-NW-0030 [AQWAB]; 61710019 [SITE_REF]; 6265 [WIN_ID],,50,368783.45,6529433.20,-31.362205022,115.620335318,GDA2020
61710032,61710032,Groundwater,Bore or Well,AWRC,Yanchep Monitoring - YY3 (O),YY3 (O),2035-3-SE-0008 [AQWAB]; 61710032 [SITE_REF]; 6278 [WIN_ID],,50,374926.84,6516930.65,-31.475659548,115.683339867,GDA2020
61710090,61710090,Groundwater,Bore or Well,AWRC,Gingin Monitoring - GG11 (I),GG11 (I),61710090 [SITE_REF]; 6336 [WIN_ID],,50,383808.07,6535447.87,-31.309550151,115.778978742,GDA2020
61710091,61710091,Groundwater,Bore or Well,AWRC,Gingin Monitoring - GG11 (O),GG11 (O),61710091 [SITE_REF]; 6337 [WIN_ID],,50,383838.44,6535438.57,-31.309637060,115.779296800,GDA2020
61710096,61710096,Groundwater,Bore or Well,AWRC,Gingin Monitoring - GG6 (O),GG6 (O),61710096 [SITE_REF]; 6342 [WIN_ID],,50,386813.00,6522808.87,-31.423859820,115.809113818,GDA2020
61710527,61710527,Groundwater,Bore or Well,AWRC,Gingin Brook Catchment - Gingin Brook 11A,Gingin Brook 11A,23030961 [WIN_ID]; 61710527 [SITE_REF]; GGB11A [TEXT_REF],GGB11A,50,395813.03,6531080.85,-31.350083022,115.904657952,GDA2020
61710529,61710529,Groundwater,Bore or Well,AWRC,Gingin Brook Catchment - Gingin Brook 12A,Gingin Brook 12A,23030963 [WIN_ID]; 61710529 [SITE_REF]; GGB12A [TEXT_REF],GGB12A,50,397339.61,6532483.49,-31.337565563,115.920849201,GDA2020
61710533,61710533,Groundwater,Bore or Well,AWRC,Gingin Brook Catchment - Gingin Brook 14A,Gingin Brook 14A,23030967 [WIN_ID]; 61710533 [SITE_REF]; GGB14A [TEXT_REF],GGB14A,50,399222.53,6532254.16,-31.339799267,115.940616103,GDA2020
61710544,61710544,Groundwater,Bore or Well,AWRC,North Gnangara Groundwater Investigation - NG3A,NG3A,23030882 [WIN_ID]; 61710544 [SITE_REF]; NG3A [TEXT_REF],NG3A,50,386213.63,6523421.15,-31.418277908,115.802878868,GDA2020
